"fecha_median","pais","anio","cat_altitud","Aparicion_hojas","Infeccion","Latencia","Lavado","Efecto_inc_defol","Inoculo","carga_fruct","variedad","nutri_adecuada","sombra","date_floracion","date_ini_cosecha","date_fin_cosecha","numdia_floracion","numdia_ini_cosecha","numdia_fin_cosecha","quimicos","poda","incidencia_observada","incidencia_pronosticada"
2016-02-01,"el_salvador",2016,"Media",0,0,12,0,"Efecto medio de la incidencia sobre la defoliacion","Inoculum medio","baja","susceptible","no","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,19.725,20.6509375
2016-03-01,"el_salvador",2016,"Media",0,0,16,0,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","baja","susceptible","no","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,8.24,13.9359375
2016-04-01,"el_salvador",2016,"Media",0,0,16,0,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","baja","susceptible","no","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,2.8,5.47076923076923
2016-05-01,"el_salvador",2016,"Media",4,1,16,1,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","baja","susceptible","no","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,2,2.27777777777778
2016-06-01,"el_salvador",2016,"Media",8,5,16,3,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","baja","susceptible","no","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,1.5,1.47777777777778
2016-07-01,"el_salvador",2016,"Media",12,9,16,5,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","baja","susceptible","no","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,3,0.977777777777778
2016-08-01,"el_salvador",2016,"Media",12,10,16,8,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","baja","susceptible","no","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,4.34,4.76938490214352
2016-09-01,"el_salvador",2016,"Media",12,9,16,8,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","baja","susceptible","no","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,5.98,6.10938490214352
2016-10-01,"el_salvador",2016,"Media",13,13,16,9,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","baja","susceptible","no","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,8.105,9.2378125
2016-11-01,"el_salvador",2016,"Media",6,3,16,2,"Efecto medio de la incidencia sobre la defoliacion","Inoculum medio","baja","susceptible","no","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,11.55,14.1692857142857
2016-12-01,"el_salvador",2016,"Media",0,0,16,0,"Efecto medio de la incidencia sobre la defoliacion","Inoculum medio","baja","susceptible","no","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,12.535,19.5726470588235
2017-06-27,"el_salvador",2017,"Media",13,12,16,9,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","baja","susceptible","no","baja",2017-04-01,2017-10-01,2018-01-01,"091","274","001",2,4,0.44,1.99438490214352
2017-07-24,"el_salvador",2017,"Media",13,10,16,8,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","baja","susceptible","no","baja",2017-04-01,2017-10-01,2018-01-01,"091","274","001",2,4,1.105,2.20938490214352
2017-08-23,"el_salvador",2017,"Media",12,8,16,8,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","baja","susceptible","no","baja",2017-04-01,2017-10-01,2018-01-01,"091","274","001",2,4,3.2,2.87438490214352
2017-09-21,"el_salvador",2017,"Media",15,9,16,7,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","baja","susceptible","no","baja",2017-04-01,2017-10-01,2018-01-01,"091","274","001",2,4,3.585,4.96938490214352
2017-10-21,"el_salvador",2017,"Media",14,8,16,5,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","baja","susceptible","no","baja",2017-04-01,2017-10-01,2018-01-01,"091","274","001",2,4,8.165,5.35438490214352
2017-11-16,"el_salvador",2017,"Media",1,1,16,0,"Efecto medio de la incidencia sobre la defoliacion","Inoculum medio","baja","susceptible","no","baja",2017-04-01,2017-10-01,2018-01-01,"091","274","001",2,4,10.9,14.2292857142857
2017-12-09,"el_salvador",2017,"Media",1,0,16,0,"Efecto medio de la incidencia sobre la defoliacion","Inoculum medio","baja","susceptible","no","baja",2017-04-01,2017-10-01,2018-01-01,"091","274","001",2,4,11.55,5.1109375
2016-04-23,"honduras",2016,"Media",1,1,11,0,"Efecto medio de la incidencia sobre la defoliacion","Inoculum medio","media","susceptible","si","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",1,4,13.09278351,7.1026772825
2016-05-18,"honduras",2016,"Media",6,3,10,0,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","media","susceptible","si","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,3.356752537,7.30372101
2016-06-22,"honduras",2016,"Media",13,10,16,8,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","media","susceptible","si","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,4.09914204,2.83453031477778
2016-07-19,"honduras",2016,"Media",8,5,14,0,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","media","susceptible","si","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,3.241296519,5.86852694214352
2016-08-24,"honduras",2016,"Media",9,8,16,5,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","media","susceptible","si","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,3.972868217,2.71907429677778
2016-09-21,"honduras",2016,"Media",14,8,16,2,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","media","susceptible","si","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,5.493273543,5.74225311914352
2016-10-18,"honduras",2016,"Media",12,4,16,3,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","media","susceptible","si","baja",2016-04-01,2016-10-01,2017-01-01,"092","275","001",2,4,4.931506849,8.751086043
2017-04-25,"honduras",2017,"Media",7,3,16,1,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","media","susceptible","si","baja",2017-04-01,2017-10-01,2018-01-01,"091","274","001",1,4,4.01,10.5609375
2017-05-25,"honduras",2017,"Media",13,7,16,4,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","media","susceptible","si","baja",2017-04-01,2017-10-01,2018-01-01,"091","274","001",2,4,1.985,3.48777777777778
2017-06-22,"honduras",2017,"Media",15,12,16,10,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","media","susceptible","si","baja",2017-04-01,2017-10-01,2018-01-01,"091","274","001",2,4,2.82,1.46277777777778
2017-07-19,"honduras",2017,"Media",12,11,16,5,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","media","susceptible","si","baja",2017-04-01,2017-10-01,2018-01-01,"091","274","001",2,4,2.01,4.58938490214352
2017-08-16,"honduras",2017,"Media",11,7,16,1,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","media","susceptible","si","baja",2017-04-01,2017-10-01,2018-01-01,"091","274","001",2,4,3.11,3.77938490214352
2017-09-21,"honduras",2017,"Media",11,9,16,5,"Efecto medio de la incidencia sobre la defoliacion","Inoculum bajo","media","susceptible","si","baja",2017-04-01,2017-10-01,2018-01-01,"091","274","001",2,4,6.18,2.58777777777778
