fecha_median,mes,pais,anio,cat_altitud,Aparicion_hojas,Infeccion,Latencia,Lavado,Efecto_inc_defol,Inoculo,carga_fruct,variedad,nutri_adecuada,sombra,date_floracion,date_ini_cosecha,date_fin_cosecha,numdia_floracion,numdia_ini_cosecha,numdia_fin_cosecha,quimicos,poda,incidencia_observada,incidencia_pronosticada,error_t
2/2016,2,el_salvador,2016,Media,0,0,12,0,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,baja,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,19.725,20.6509375,0.9259
3/2016,3,el_salvador,2016,Media,0,0,16,0,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,baja,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,8.24,13.9359375,5.6959
4/2016,4,el_salvador,2016,Media,0,0,16,0,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,baja,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,2.8,5.470769231,2.6708
5/2016,5,el_salvador,2016,Media,4,1,16,1,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,baja,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,2,2.277777778,0.2778
6/2016,6,el_salvador,2016,Media,8,5,16,3,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,baja,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,1.5,1.477777778,-0.0222
7/2016,7,el_salvador,2016,Media,12,9,16,5,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,baja,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,3,0.977777778,-2.0222
8/2016,8,el_salvador,2016,Media,12,10,16,8,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,baja,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,4.34,4.769384902,0.4294
9/2016,9,el_salvador,2016,Media,12,9,16,8,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,baja,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,5.98,6.109384902,0.1294
10/2016,10,el_salvador,2016,Media,13,13,16,9,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,baja,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,8.105,9.2378125,1.1328
11/2016,11,el_salvador,2016,Media,6,3,16,2,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,baja,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,11.55,14.16928571,2.6193
12/2016,12,el_salvador,2016,Media,0,0,16,0,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,baja,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,12.535,19.57264706,7.0376
6/2017,6,el_salvador,2017,Media,13,12,16,9,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,0.44,1.994384902,1.5544
7/2017,7,el_salvador,2017,Media,13,10,16,8,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,1.105,2.209384902,1.1044
8/2017,8,el_salvador,2017,Media,12,8,16,8,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,3.2,2.874384902,-0.3256
9/2017,9,el_salvador,2017,Media,15,9,16,7,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,3.585,4.969384902,1.3844
10/2017,10,el_salvador,2017,Media,14,8,16,5,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,baja,susceptible,no,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,8.165,5.354384902,-2.8106
11/2017,11,el_salvador,2017,Media,1,1,16,0,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,10.9,14.22928571,3.3293
12/2017,12,el_salvador,2017,Media,1,0,16,0,Efecto medio de la incidencia sobre la defoliacion,Inoculum medio,baja,susceptible,no,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,11.55,5.1109375,-6.4391
