"year","DOY","Date","Rain","Tair","RH","RAD","Pressure","WindSpeed","CO2","DegreeDays","PAR","FDiff","VPD","Tmax","Tmin"
NA,1,"1979-01-01",5.29,13.864,93.425,5.376,900.245,0.292,336.525,3.864,2.58,0.479,1.047,15.41,11.96
NA,2,"1979-01-02",0,15.734,88.383,16.9,899.893,0.496,336.525,5.734,8.112,0.323,2.407,22.15,12.25
NA,3,"1979-01-03",1.56,16.462,87.062,18.594,899.919,0.609,336.525,6.462,8.925,0.272,2.823,21.22,10.56
NA,4,"1979-01-04",0.21,17.443,89.144,18.509,900.789,0.526,336.525,7.443,8.884,0.281,2.547,23.34,12.36
NA,5,"1979-01-05",38.4,16.988,94.532,7.543,900.656,0.355,336.525,6.987,3.621,0.448,1.092,20.88,14.46
NA,6,"1979-01-06",0.31,17.867,91.196,16.262,899.543,0.478,336.525,7.867,7.806,0.329,2.007,23.03,15.14
NA,7,"1979-01-07",6.23,16.447,91.196,10.792,899.382,0.461,336.525,6.447,5.18,0.407,1.85,21.31,12.91
NA,8,"1979-01-08",0,17.075,90.901,15.589,899.53,0.558,336.525,7.075,7.482,0.335,2.075,22.55,12.29
NA,9,"1979-01-09",4.99,17.391,89.3,17.133,901.097,0.72,336.525,7.391,8.224,0.303,2.466,23.05,13.81
NA,10,"1979-01-10",0,16.997,84.635,20.544,901.242,0.869,336.525,6.997,9.861,0.258,3.426,22.7,13.25
NA,11,"1979-01-11",0.2,17.177,85.313,17.214,900.462,0.567,336.525,7.178,8.263,0.32,3.242,22.17,13.68
NA,12,"1979-01-12",1.46,16.487,87.975,11.81,899.95,0.497,336.525,6.487,5.669,0.376,2.507,21.59,13.17
NA,13,"1979-01-13",0,15.816,89.205,10.617,900.675,0.451,336.525,5.816,5.096,0.426,2.222,21.79,12.53
NA,14,"1979-01-14",0,16.59,85.107,15.728,901.368,0.531,336.525,6.59,7.549,0.338,3.307,21.93,11.85
NA,15,"1979-01-15",4.55,14.374,93.254,6.199,901.963,0.376,336.525,4.374,2.976,0.473,1.125,16.38,12.9
NA,16,"1979-01-16",10.56,12.96,93.579,4.235,903.333,0.494,336.525,2.96,2.033,0.474,0.971,14.71,11.33
NA,17,"1979-01-17",0,15.265,88.519,11.606,903.785,0.347,336.525,5.265,5.571,0.408,2.365,21.2,11.43
NA,18,"1979-01-18",1.03,13.696,88.429,11.405,903.415,0.487,336.525,3.696,5.475,0.429,2.014,17.96,10.21
NA,19,"1979-01-19",2.94,14.807,89.295,8.517,902.912,0.289,336.525,4.807,4.088,0.456,1.925,17.72,12.34
NA,20,"1979-01-20",4.27,14.975,87.993,9.932,901.898,0.439,336.525,4.975,4.767,0.443,2.248,19.14,12.93
NA,21,"1979-01-21",6.1,11.451,94.222,5.808,903.611,0.441,336.525,1.451,2.788,0.475,0.79,13.65,10.13
NA,22,"1979-01-22",15.46,12.632,93.437,6.705,903.494,0.22,336.525,2.632,3.219,0.471,1.007,15.37,10.32
NA,23,"1979-01-23",26.17,14.853,90.436,12.731,902.84,0.529,336.525,4.853,6.111,0.371,1.831,19.73,11.74
NA,24,"1979-01-24",3.18,16.209,84.803,18.634,901.402,0.66,336.525,6.209,8.944,0.29,3.382,22.77,10.66
NA,25,"1979-01-25",68.72,13.739,94.401,4.958,900.406,0.427,336.525,3.739,2.38,0.474,0.884,15.83,12.51
NA,26,"1979-01-26",18.54,14.846,91.231,10.188,901.215,0.618,336.525,4.846,4.89,0.406,1.624,18.93,11.96
NA,27,"1979-01-27",0.2,17.039,84.396,16.675,900.751,0.652,336.525,7.039,8.004,0.331,3.747,23.54,12.52
NA,28,"1979-01-28",11.01,15.348,92.369,8.724,900.387,0.228,336.525,5.348,4.188,0.445,1.387,17.93,13.63
NA,29,"1979-01-29",12.17,16.633,89.927,15.493,900.456,0.467,336.525,6.633,7.437,0.357,2.191,22.62,13.99
