Date	RH	Tmin	year	DOY	RAD	Rain	Pressure	WindSpeed	Tmax	Tair
01/01/1993	25.6	12.71	1993	1	18.75	3.32	913.3	78.13	14.57	14.18
02/01/1993	27.26	14.87	1993	2	20.29	0.59	913.4	76.39	15.52	16.43
03/01/1993	28.04	16.24	1993	3	20.76	0.57	913.2	73.54	15.89	17.43
04/01/1993	30.25	19.87	1993	4	21.78	0.02	913.2	63.42	15.82	20.54
05/01/1993	28.72	17.53	1993	5	21.79	0.02	914.1	68.87	16.79	18.66
06/01/1993	27.71	17.75	1993	6	21.29	0.25	915	73.49	17.01	19.07
07/01/1993	28.79	17.46	1993	7	21.93	2.73	913.8	67.5	16.86	17.92
08/01/1993	30.18	18.94	1993	8	22.35	0.08	912.1	62.6	16.73	19.94
09/01/1993	31.26	21.2	1993	9	22.52	0.05	911	52.88	14.85	22.03
10/01/1993	30.48	21.64	1993	10	22.55	0.47	912.9	59.03	16.2	22.16
11/01/1993	25.46	18.86	1993	11	21.18	2.62	913.9	78.82	18.01	19.7
12/01/1993	29.08	17.78	1993	12	22.54	0.25	913.4	70.11	17.99	18.42
13/01/1993	30.18	17.75	1993	13	22.62	1.22	913.9	65.43	17.53	18.72
14/01/1993	29.59	17.78	1993	14	22.19	2.55	914.1	67.72	17.89	18.64
15/01/1993	30.21	16.34	1993	15	22.88	0.13	913.2	65.44	17.66	16.93
16/01/1993	29.05	17.71	1993	16	22.19	0.12	913.4	65.05	17.21	18.58
17/01/1993	27.99	19.87	1993	17	21.21	0.11	914.2	67.83	16.18	21.1
18/01/1993	28.75	19.98	1993	18	21.49	0.3	914.9	69.44	16.41	21.25
19/01/1993	28.9	20.16	1993	19	21.5	0.13	914.7	68.58	16.45	21.63
20/01/1993	29.83	19.01	1993	20	22.05	0.18	914.1	67.07	16.66	20.46
21/01/1993	28.91	18.94	1993	21	22.09	0.25	914	68.38	17.45	20.55
22/01/1993	27.87	20.05	1993	22	21.16	0.7	913.3	69.88	16.85	21.88
23/01/1993	29.08	19.48	1993	23	21.82	0.33	911.7	61.82	17.55	20.86
24/01/1993	28.43	16.88	1993	24	21.57	0.92	910.9	67.31	16.92	17.93
25/01/1993	26.98	12.28	1993	25	20.75	2.76	910.6	76.31	16.84	13.55
26/01/1993	23.99	12.38	1993	26	18.9	2.46	912.7	75.52	15.68	14.4
27/01/1993	19.93	16.34	1993	27	15.36	2.72	915.2	77.74	12.49	18.84
28/01/1993	25.12	22.79	1993	28	16.92	0.1	914.9	64.64	11.69	24.64
29/01/1993	26.67	20.95	1993	29	18.47	0.14	914	69.54	13.24	22.49
30/01/1993	26.23	11.02	1993	30	19.39	1.36	915.4	75.63	15.04	13.46
31/01/1993	24.23	12.17	1993	31	18.32	1.88	915.9	76.64	15.26	14.9
01/02/1993	24.7	20.12	1993	32	18.78	0.2	915.2	70.19	15.3	22.18
02/02/1993	27.4	22.32	1993	33	19.63	0	913.4	68.53	14.11	23.86
03/02/1993	28.37	20.66	1993	34	20.5	0	913.4	66.18	14.54	21.85
04/02/1993	29.43	19.19	1993	35	21.34	0.03	913.3	66.48	15.45	20.44
05/02/1993	28.49	13.07	1993	36	21.11	0.12	913.1	67.19	15.55	14.57
06/02/1993	27.71	16.31	1993	37	20.59	0.01	913.3	69.02	15.51	17.88
07/02/1993	26.67	18.58	1993	38	19.46	0.27	913.3	70.97	14.6	20.51
08/02/1993	26.68	15.55	1993	39	19.42	0.98	913.8	72.03	14.89	17.17
09/02/1993	29.38	21.64	1993	40	21.43	0	914	64.82	15.21	22.66
10/02/1993	32.72	21.2	1993	41	23.74	0.03	912.6	53.68	16.77	21.93
11/02/1993	32.99	22.46	1993	42	24.73	0.06	911.5	48.97	17.47	22.93
12/02/1993	29.21	20.92	1993	43	22.46	0.07	912.7	64.66	17.13	22.57
13/02/1993	28.02	18.14	1993	44	21.11	0.44	913.1	68.72	16.69	20.3
14/02/1993	28.61	20.99	1993	45	20.82	0.45	913	69.69	14.9	22.74
15/02/1993	31.44	20.99	1993	46	22.79	0.03	912.6	58.59	16.22	21.94
16/02/1993	33.88	22.61	1993	47	23.95	0.13	912.8	51.44	16.29	23.59
