"Date","Tair","Tmax","Tmin","RH","Rain","RAD","Pressure","WindSpeed"
2017-01-01,20.9,26.9,16.1,82,0,20.56,913.1,1.19
2017-01-02,21,27.3,17.1,78.5,0,20.45,912.4,1.18
2017-01-03,21,27.3,16.6,78.3,0,20.48,911.7,1.34
2017-01-04,20.4,26.4,17.3,84.7,0,15.51,911.8,1.38
2017-01-05,20.6,27.1,15.8,79.2,0,19.35,911.3,1.55
2017-01-06,21.5,29,16.1,78.5,0,20.36,910.9,0.86
2017-01-07,20.8,25.7,17.8,85,0,14.41,914.9,2.21
2017-01-08,17.3,20.4,15,90.9,15,10.72,917.9,4.55
2017-01-09,15.1,15.9,13.9,90.1,52,11.24,918.5,4.63
2017-01-10,17.8,23,15.7,84.2,10,19.35,915.9,3.57
2017-01-11,17.9,21.9,14.1,84.7,1.4,15.14,914.7,2.43
2017-01-12,19.7,24.5,16.2,79.5,0,19.43,914.9,2.41
2017-01-13,19.9,24.7,14.6,75.3,0,21.09,916.2,2.98
2017-01-14,19.2,23.8,17.2,82.8,1.2,17.69,915.6,2.92
2017-01-15,18.5,21.9,17.1,88.7,6.2,13.87,914.1,2.13
2017-01-16,20,25.2,16.4,82.7,1.4,19.18,913.3,1.54
2017-01-17,20.5,25,17.9,84.2,0,17.94,913.6,1.41
2017-01-18,20.9,26.9,16.4,76.7,0,21.03,913.8,1.41
2017-01-19,21.2,26.6,17,77.9,0,17.28,912.6,0.76
2017-01-20,21.3,28.7,16.6,77.2,0,18.6,911.5,1.67
2017-01-21,22.5,30.2,15.7,58.9,0,20.95,911.5,2.19
2017-01-22,21.9,30.6,15.7,65.6,0,22.12,910,1.59
2017-01-23,21.1,25.3,16,64.5,0,22.27,912.9,2.02
2017-01-24,18.8,25.6,14.5,73.1,0,22.73,913.3,0.86
2017-01-25,19.4,27.7,14.1,76.1,0,22.68,912.4,1.16
2017-01-26,20.4,27.9,15.1,73.5,0,22.53,913.2,1.21
2017-01-27,20.1,26.5,15.9,74.6,0,19.6,913.8,1.79
2017-01-28,20.9,27.7,15.5,73.8,0,21.31,912.9,1.61
2017-01-29,20.2,24.9,17.8,81.2,0,17.93,915.1,2.89
2017-01-30,16.6,18.4,15,92.1,25.6,10.57,916.6,3.56
2017-01-31,16,19.5,14.1,90.1,6.2,15.63,916.1,2.84
2017-02-01,19.6,25.9,16,84.6,0.2,20.02,914.1,2
2017-02-02,20.9,26,16.9,78.9,0,22.33,914,2.35
2017-02-03,19.9,24.6,16.8,83,0,19.32,914.7,2.72
2017-02-04,19.1,23.2,18,89,5.4,13.93,914,3.05
2017-02-05,19.8,24.7,17.9,89.2,7.6,16.64,913.1,2.58
2017-02-06,21,25.6,18.3,85.7,6.2,17.38,913,2.13
2017-02-07,21.2,27,17,81.7,15,22.81,911.9,1.35
2017-02-08,21.2,27.9,16.6,78.5,0,21.92,911.3,0.97
2017-02-09,21.4,27.3,17.1,77,0,21.89,914.1,2.01
2017-02-10,21.3,26.3,18.5,82,2.4,20.43,916.4,3.05
2017-02-11,20.7,26.1,17,77.4,0.2,21.8,915.7,2.63
2017-02-12,19.7,24.5,15.8,81.3,0,15.19,914.5,2.36
2017-02-13,20.7,26.4,16.2,74.2,0,23.95,913.2,1.84
2017-02-14,20.7,27.6,15.2,76,0,23.59,911.4,0.62
2017-02-15,21.5,30.1,15.8,70.9,0,21.34,912.1,1.39
