Date	year	DOY	Tair	RH	RAD	Pressure	WindSpeed	CO2	DegreeDays	PAR	FDiff	VPD	Tmax	Tmin	Rain	HR
01/06/1989	1989	152	20.443	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.1	14.2	2.9	NA
02/06/1989	1989	153	20.829	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.3	13.4	0	NA
03/06/1989	1989	154	20.414	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.3	15.4	2.5	NA
04/06/1989	1989	155	18.885	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.8	13.4	86.5	NA
05/06/1989	1989	156	19.769	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.2	14.6	33	NA
06/06/1989	1989	157	22.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.4	13.2	1.1	NA
07/06/1989	1989	158	21.118	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.1	13.6	1.1	NA
08/06/1989	1989	159	21.119	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.4	10	45.5	NA
09/06/1989	1989	160	19.279	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	9.4	14.8	NA
10/06/1989	1989	161	19.309	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	13.1	1.7	NA
11/06/1989	1989	162	19.192	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.1	12.6	0	NA
12/06/1989	1989	163	20.634	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	12.4	9.5	NA
13/06/1989	1989	164	21.607	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	12.6	9.1	NA
14/06/1989	1989	165	21.152	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.3	12.5	0.7	NA
15/06/1989	1989	166	20.475	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	12	14	NA
16/06/1989	1989	167	21.825	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	11.3	16.7	NA
17/06/1989	1989	168	22.755	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.7	11	25.1	NA
18/06/1989	1989	169	23.349	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.2	11	0	NA
19/06/1989	1989	170	23.182	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	10.5	1.6	NA
20/06/1989	1989	171	20.937	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.2	11.4	6	NA
21/06/1989	1989	172	21.938	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4	12	27.5	NA
22/06/1989	1989	173	22.655	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.5	11.4	0	NA
23/06/1989	1989	174	22.517	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.2	11.3	0.1	NA
24/06/1989	1989	175	21.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	11	1.3	NA
25/06/1989	1989	176	21.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.3	13.6	9.6	NA
26/06/1989	1989	177	21.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	13	3.8	NA
27/06/1989	1989	178	19.634	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	12.5	39.3	NA
28/06/1989	1989	179	20.312	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	14.1	0	NA
