"Date","year","DOY","Tair","RH","RAD","Pressure","WindSpeed","CO2","DegreeDays","PAR","FDiff","VPD","Tmax","Tmin","Rain","HR"
"2003-01-01",2003,1,19.55,85.406,17.033,899.209,0.741,374.76,9.55,8.176,0.318,3.97,21.2,8.5,4.5,NA
"2003-01-02",2003,2,18.927,80.682,7.664,899.7,0.412,374.76,8.928,3.678,0.435,5.202,22.4,7.5,2.6,NA
"2003-01-03",2003,3,17.638,87.219,17.451,899.304,0.539,374.76,7.638,8.377,0.31,2.881,20.2,8.5,2.8,NA
"2003-01-04",2003,4,18.139,74.797,9.749,900.389,1.194,374.76,8.139,4.68,0.42,5.96,15.2,11.7,0,NA
"2003-01-05",2003,5,18.742,87.408,12.281,901.486,2.137,374.76,8.742,5.895,0.386,3.06,18,11.5,1.5,NA
"2003-01-06",2003,6,18.776,88.164,5.068,902.122,0.881,374.76,8.776,2.433,0.474,2.985,18,12.9,0,NA
"2003-01-07",2003,7,17.83,92.69,9.416,901.613,1.11,374.76,7.83,4.52,0.451,1.549,14.2,12,0,NA
"2003-01-08",2003,8,17.53,87.035,6.525,900.374,0.272,374.76,7.53,3.132,0.453,3.022,16.4,11.5,1.7,NA
"2003-01-09",2003,9,19.029,78.677,20.201,899.139,0.619,374.76,9.029,9.696,0.258,5.765,20,10,2.1,NA
"2003-01-10",2003,10,18.677,88.052,20.551,898.85,0.621,374.76,8.677,9.865,0.244,2.886,25.2,3.4,5.1,NA
"2003-01-11",2003,11,17.691,95.472,17.599,900.258,0.558,374.76,7.691,8.447,0.3,0.933,20,12.2,4.5,NA
"2003-01-12",2003,12,19.111,82.541,17.231,900.301,0.695,374.76,9.111,8.271,0.305,4.73,21,14.2,3.4,NA
"2003-01-13",2003,13,17.689,90.578,18.969,899.257,0.649,374.76,7.689,9.105,0.284,2.052,18.4,11.6,4.2,NA
"2003-01-14",2003,14,18.324,84.42,19.529,897.571,0.573,374.76,8.324,9.374,0.265,4.028,16,13,0.1,NA
"2003-01-15",2003,15,18.109,94.979,21.18,897.255,0.621,374.76,8.109,10.166,0.237,1.102,14.3,10.4,0.2,NA
"2003-01-16",2003,16,17.422,96.65,14.915,897.81,0.381,374.76,7.423,7.159,0.341,0.67,19.4,10.5,3.3,NA
"2003-01-17",2003,17,16.383,98.7,13.328,897.516,0.434,374.76,6.383,6.397,0.369,0.241,18.5,12.5,0.1,NA
"2003-01-18",2003,18,17.289,97.288,11.018,896.984,0.372,374.76,7.289,5.289,0.4,0.567,16.5,11,1,NA
"2003-01-19",2003,19,17.305,94.067,16.662,898,0.726,374.76,7.305,7.998,0.319,1.265,14.5,9.5,0.4,NA
"2003-01-20",2003,20,19.459,85.087,20.548,899.173,0.812,374.76,9.459,9.863,0.258,3.947,17,9.4,0,NA
"2003-01-21",2003,21,19.634,85.928,9.279,899.443,0.501,374.76,9.634,4.454,0.447,3.871,21.2,13,2.4,NA
"2003-01-22",2003,22,19.424,86.856,18.836,898.55,0.773,374.76,9.424,9.041,0.29,3.403,21.8,10.5,3.6,NA
"2003-01-23",2003,23,18.998,87.139,15.281,896.93,0.549,374.76,8.998,7.335,0.352,3.352,21.7,10,4.5,NA
"2003-01-24",2003,24,19.198,85.7,15.425,895.984,0.422,374.76,9.198,7.404,0.334,3.677,17,10,3.9,NA
"2003-01-25",2003,25,19.487,84.005,12.954,896.761,0.504,374.76,9.487,6.218,0.389,4.453,17.6,12,3.5,NA
"2003-01-26",2003,26,17.455,76.37,20.077,896.019,0.783,374.76,7.468,9.637,0.269,5.813,18.2,8,4.9,NA
"2003-01-27",2003,27,19.222,83.719,11.461,896.312,0.455,374.76,9.222,5.501,0.42,3.954,17.2,9.8,4.5,NA
"2003-01-28",2003,28,19.16,80.398,16.425,896.145,0.583,374.76,9.16,7.884,0.33,4.928,17.6,9.5,1.8,NA
"2003-01-29",2003,29,19.685,75.042,22.362,896.264,0.721,374.76,9.685,10.734,0.241,6.785,20.5,9.9,4.1,NA
"2003-01-30",2003,30,18.209,82.478,11.781,896.764,0.557,374.76,8.209,5.655,0.42,4.041,18.2,11,0.9,NA
"2003-01-31",2003,31,19.365,72.411,22.733,897.051,0.828,374.76,9.365,10.912,0.223,7.241,16.5,12.6,0,NA
"2003-02-01",2003,32,17.727,76.061,17.86,896.869,0.872,374.76,7.727,8.573,0.33,5.794,15.3,11.4,0.4,NA
"2003-02-02",2003,33,16.652,88.832,6.4,896.738,0.36,374.76,6.652,3.072,0.477,2.18,19.7,12.1,0,NA
"2003-02-03",2003,34,17.96,87.597,8.322,896.639,0.194,374.76,7.96,3.995,0.455,2.72,25.4,10,0,NA
"2003-02-04",2003,35,19.332,83.344,14.763,896.326,0.694,374.76,9.332,7.086,0.374,4.262,24,5.7,0,NA
"2003-02-05",2003,36,19.226,87.199,10.347,896.149,0.378,374.76,9.226,4.966,0.435,3.048,22.4,11.1,0,NA
"2003-02-06",2003,37,20.118,79.757,20.106,895.962,0.724,374.76,10.118,9.651,0.278,5.494,26.5,10.1,0,NA
"2003-02-07",2003,38,19.724,77.086,20.363,896.196,0.61,374.76,9.724,9.774,0.258,6.292,24.5,7.3,0,NA
