"Date","year","DOY","Tair","RAD","Pressure","WindSpeed","CO2","DegreeDays","PAR","FDiff","VPD","Tmax","Tmin","RH","Rain"
"2003-01-01",2006,1,18.546,8.709,899.034,1.451,399.966,8.546,4.18,0.434,3.822,23.1976235294118,16.4638176470588,86.8785220594118,1.45294103529412
"2003-01-02",2006,2,18.295,2.002,897.808,1.543,399.966,8.295,0.961,0.479,2.372,22.9427470588235,16.6955352941176,89.2313071076471,7.86666771764706
"2003-01-03",2006,3,20.473,18.422,897.669,1.347,399.966,10.473,8.843,0.28,5.433,21.6065882352941,17.3272882352941,89.1101676482353,6.27843244117647
"2003-01-04",2006,4,19.056,10.973,899.421,1.348,399.966,9.056,5.267,0.406,2.765,21.3755117647059,15.6219352941176,88.6178306376471,4.30392166470588
"2003-01-05",2006,5,18.133,3.92,901.201,1.615,399.966,8.133,1.881,0.471,1.08,22.0135823529412,14.8805235294118,84.1925786758823,2.94705899411765
"2003-01-06",2006,6,18.162,4.157,902.204,2.26,399.966,8.162,1.995,0.471,1.836,21.6872588235294,15.3809647058824,85.8545129905882,1.94705887647059
"2003-01-07",2006,7,17.404,5.013,901.965,1.221,399.966,7.404,2.406,0.46,1.49,22.7396411764706,14.3990176470588,85.1449725511765,2.44509804705882
"2003-01-08",2006,8,16.388,3.794,900.905,0.678,399.966,6.388,1.821,0.473,1.13,22.7549176470588,16.3497705882353,85.7931681364706,5.1823527
"2003-01-09",2006,9,17.791,6.566,899.799,0.857,399.966,7.791,3.152,0.46,2.764,21.8600941176471,15.8129529411765,88.5940477947059,5.91764825882353
"2003-01-10",2006,10,18.963,0,899.892,0.812,399.966,8.963,0,0.479,4.428,22.5649235294118,15.8715588235294,88.0725774505882,6.03725565882353
"2003-01-11",2006,11,18.779,0,899.211,1.106,399.966,8.779,0,0.479,4.267,22.2811764705882,16.1411235294118,89.64839804,10.6019591882353
"2003-01-12",2006,12,18.531,0,898.949,1.056,399.966,8.531,0,0.479,5.367,22.7174941176471,16.5145117647059,89.5276242647059,11.0960805647059
"2003-01-13",2006,13,18.547,0,898.776,0.971,399.966,8.547,0,0.479,3.982,22.5302823529412,16.8373352941176,90.2819470582353,5.68235195882353
"2003-01-14",2006,14,19.291,0,898.594,1.06,399.966,9.291,0,0.479,5.507,23.2264529411765,16.4766529411765,86.3427965688235,5.03529371176471
"2003-01-15",2006,15,18.954,0,899.327,0.813,399.966,8.954,0,0.479,4.228,22.2741882352941,16.9987,91.0728433829412,8.33921605294118
"2003-01-16",2006,16,18.694,0,898.993,0.712,399.966,8.694,0,0.479,4.104,24.0104705882353,17.0821294117647,88.1810338229412,6.97450892941176
"2003-01-17",2006,17,18.299,0,898.547,0.677,399.966,8.299,0,0.479,1.372,23.0185,17.4500529411765,87.3141987741176,11.0509815
"2003-01-18",2006,18,19.284,0,899.027,0.622,399.966,9.284,0,0.479,3.222,23.6053058823529,17.5249,87.3015225494118,6.85294115882353
"2003-01-19",2006,19,18.966,0,899.699,0.997,399.966,8.966,0,0.479,4.978,23.9013470588235,17.0205294117647,81.4664877441176,2.9490188
"2003-01-20",2006,20,19.255,0,900.323,0.725,399.966,9.255,0,0.479,6.259,22.7262764705882,15.6860529411765,83.7988982829412,2.72156982941176
"2003-01-21",2006,21,17.503,0,900.076,0.518,399.966,7.503,0,0.479,4.181,23.6684882352941,16.486,81.5783002447059,5.46078453529412
"2003-01-22",2006,22,18.515,15.841,900.028,0.937,399.966,8.515,7.604,0.341,4.052,23.8464705882353,15.3139941176471,73.3846870094118,0.207843158823529
"2003-01-23",2006,23,18.839,15.372,898.455,1.011,399.966,8.839,7.379,0.35,3.132,23.7831117647059,16.1909764705882,83.6007362741177,2.36274572941176
"2003-01-24",2006,24,17.442,10.228,898.796,1.05,399.966,7.442,4.91,0.42,2.273,23.9730352941176,16.8262647058824,86.7878588229412,22.9784370352941
"2003-01-25",2006,25,17.49,11.938,897.724,1.203,399.966,7.49,5.73,0.402,3.495,23.4593176470588,17.2440823529412,85.9918919117647,5.1392158
"2003-01-26",2006,26,18.937,20.353,896.706,0.821,399.966,8.937,9.769,0.272,4.507,23.4297235294118,16.8599058823529,83.8419674011765,4.8392146
"2003-01-27",2006,27,18.706,23.07,897.005,0.834,399.966,8.706,11.073,0.233,1.888,21.3900235294118,16.6806294117647,85.1280218147059,9.26470617058824
"2003-01-28",2006,28,18.772,15.898,897.501,0.682,399.966,8.772,7.631,0.342,2.967,20.8840294117647,17.0474294117647,91.4315754911765,15.9098013058824
"2003-01-29",2006,29,19.472,23.129,897.082,0.792,399.966,9.472,11.102,0.226,5.647,21.0217,16.5989294117647,89.9265943629412,16.9333344588235
"2003-01-30",2006,30,19.931,22.771,897.346,0.896,399.966,9.931,10.93,0.24,6.281,23.3104529411765,15.4951352941176,80.7750174029412,2.01764758235294
"2003-01-31",2006,31,18.247,16.007,898.014,1.286,399.966,8.247,7.683,0.348,5.048,22.5462882352941,16.6200823529412,88.3901517164706,17.4843152058824
"2003-02-01",2006,32,18.5,14.35,898.356,1.234,399.966,8.5,6.888,0.377,4.432,20.5776411764706,15.4580588235294,93.4598852941176,36.3882359941177
"2003-02-02",2006,33,19.072,16.094,897.989,1.162,399.966,9.072,7.725,0.338,3.539,23.4970764705882,15.1016294117647,82.0368289211765,1.70000052941176
"2003-02-03",2006,34,18.225,4.362,897.536,0.907,399.966,8.225,2.094,0.476,2.316,24.5415352941176,16.2564411764706,79.1426683841176,0.380392458823529
"2003-02-04",2006,35,18.535,13.536,896.446,1.01,399.966,8.535,6.497,0.394,2.798,24.1853411764706,16.2626588235294,84.1962325988235,2.28823526470588
"2003-02-05",2006,36,19.216,16.223,896.716,1.108,399.966,9.216,7.787,0.343,2.75,23.8601823529412,17.0364470588235,86.1598166676471,7.33529308235294
"2003-02-06",2006,37,16.98,2.382,896.224,0.897,399.966,6.98,1.144,0.479,0.135,21.1274,17.0447352941176,87.1909921582353,13.8235287882353
"2003-02-07",2006,38,18.227,13.279,896.698,1.089,399.966,8.227,6.374,0.404,3.119,22.6159882352941,16.5584117647059,83.2256637258824,10.0941200294118
"2003-02-08",2006,39,17.558,9.445,897.985,0.649,399.966,7.558,4.533,0.45,2.041,22.5835235294118,16.6806352941176,86.9334044105882,8.2098022882353
"2003-02-09",2006,40,17.925,6.638,897.164,0.716,399.966,7.925,3.186,0.446,2.335,23.5438235294118,16.8322117647059,85.0106269617647,12.3509792588235
"2003-02-10",2006,41,18.981,16.598,896.841,1.328,399.966,8.981,7.967,0.337,4.621,23.6951764705882,16.5970647058824,84.7079571094118,5.26666582352941
"2003-02-11",2006,42,18.915,17.274,895.979,1.246,399.966,8.915,8.291,0.329,4.999,23.9486941176471,16.8560647058824,83.4505919117647,2.87451143529412
"2003-02-12",2006,43,18.383,11.282,895.936,1.076,399.966,8.383,5.415,0.424,1.197,23.2724764705882,15.8966294117647,84.2589487747059,5.93725595882353
"2003-02-13",2006,44,16.671,3.641,896.661,1.625,399.966,6.671,1.748,0.479,0.678,23.4524,16.5943352941176,86.4615887258824,7.51176713529412
"2003-02-14",2006,45,16.648,16.123,896.093,1.207,399.966,6.648,7.739,0.354,2.21,22.8197588235294,17.5918588235294,89.32672598,27.6999991882353
"2003-02-15",2006,46,16.773,2.316,895.733,1.374,399.966,6.773,1.112,0.479,0.244,23.4232235294118,17.1838176470588,86.4285414205882,12.5882373411765
"2003-02-16",2006,47,17.629,1.547,894.189,1.413,399.966,7.629,0.743,0.479,2.327,23.5475352941176,15.3864294117647,84.4906566170588,7.10784117647059
"2003-02-17",2006,48,18.685,17.785,894.998,1.361,399.966,8.685,8.537,0.327,5.343,24.3048058823529,16.7228588235294,86.4656350505882,4.00000001764706
"2003-02-18",2006,49,19.057,15.701,896.116,1.135,399.966,9.057,7.536,0.366,3.535,24.7951176470588,16.3541882352941,74.3256968129412,1.03725461764706
"2003-02-19",2006,50,18.684,19.707,895.752,1.398,399.966,8.684,9.459,0.296,4.758,23.6691470588235,16.9350176470588,79.8241669129412,4.19215735294118
"2003-02-20",2006,51,17.253,4.305,898.332,0.846,399.966,7.253,2.067,0.478,0.454,21.9260882352941,17.2277235294118,89.6926056370588,20.6078425176471
"2003-02-21",2006,52,18.363,11.146,897.333,1.054,399.966,8.363,5.35,0.418,2.345,22.5007294117647,16.7414705882353,92.2023139711765,21.5784316294118
"2003-02-22",2006,53,18.959,17.626,896.291,1.464,399.966,8.959,8.461,0.332,4.986,23.0281882352941,17.7892411764706,90.1152517147059,12.1117670352941
"2003-02-23",2006,54,19.355,20.539,896.376,1.573,399.966,9.355,9.859,0.286,5.491,24.3480411764706,15.5256823529412,86.9819549029412,4.57647104705882
"2003-02-24",2006,55,18.423,17.713,896.927,1.534,399.966,8.423,8.502,0.325,5.675,23.1695470588235,16.0792647058824,82.1942296582353,7.63725463529412
"2003-02-25",2006,56,18.961,19.283,896.618,1.325,399.966,8.961,9.256,0.311,7.931,24.0437235294118,16.6305,83.4081487758824,1.7156871
"2003-02-26",2006,57,18.437,7.91,897.044,0.79,399.966,8.437,3.797,0.469,3.459,24.2077588235294,16.6651235294118,81.6548764705882,0.825490011764706
"2003-02-27",2006,58,19.501,19.797,898.245,1.485,399.966,9.501,9.502,0.303,4.86,24.0467352941176,15.7960823529412,83.8745811270588,2.83137298823529
