"Date","year","DOY","Tair","RAD","Pressure","WindSpeed","CO2","DegreeDays","PAR","FDiff","VPD","Tmax","Tmin","RH","Rain"
"2003-01-01",2006,1,18.546,8.709,899.034,1.451,399.966,8.546,4.18,0.434,3.822,26.2142875,18.74165,85.9390729175,6.0958339
"2003-01-02",2006,2,18.295,2.002,897.808,1.543,399.966,8.295,0.961,0.479,2.372,26.4376375,20.0163625,86.9412359375,7.7333320875
"2003-01-03",2006,3,20.473,18.422,897.669,1.347,399.966,10.473,8.843,0.28,5.433,25.2162625,21.0089125,85.03237135375,2.6499994875
"2003-01-04",2006,4,19.056,10.973,899.421,1.348,399.966,9.056,5.267,0.406,2.765,25.092575,18.9777625,84.74892395875,3.0541662
"2003-01-05",2006,5,18.133,3.92,901.201,1.615,399.966,8.133,1.881,0.471,1.08,25.494625,18.105125,83.1649890625,2.9208330625
"2003-01-06",2006,6,18.162,4.157,902.204,2.26,399.966,8.162,1.995,0.471,1.836,25.4029625,18.2615375,82.8706645825,2.7458323875
"2003-01-07",2006,7,17.404,5.013,901.965,1.221,399.966,7.404,2.406,0.46,1.49,25.389125,17.788575,84.027259375,7.3958332875
"2003-01-08",2006,8,16.388,3.794,900.905,0.678,399.966,6.388,1.821,0.473,1.13,25.7341875,18.90475,85.47907239625,3.32499945
"2003-01-09",2006,9,17.791,6.566,899.799,0.857,399.966,7.791,3.152,0.46,2.764,25.0891,18.9598125,86.86059948,5.320835625
"2003-01-10",2006,10,18.963,0,899.892,0.812,399.966,8.963,0,0.479,4.428,25.8976625,19.2673875,85.9438671875,6.7875016125
"2003-01-11",2006,11,18.779,0,899.211,1.106,399.966,8.779,0,0.479,4.267,25.1219375,19.1844625,89.25939635375,15.7250057875
"2003-01-12",2006,12,18.531,0,898.949,1.056,399.966,8.531,0,0.479,5.367,24.991075,19.8679625,88.23433073,11.1083285125
"2003-01-13",2006,13,18.547,0,898.776,0.971,399.966,8.547,0,0.479,3.982,25.97785,19.5768625,86.95601302,6.39166475
"2003-01-14",2006,14,19.291,0,898.594,1.06,399.966,9.291,0,0.479,5.507,26.731025,18.6382875,83.5802302075,4.420836575
"2003-01-15",2006,15,18.954,0,899.327,0.813,399.966,8.954,0,0.479,4.228,26.631025,19.2915,85.43058385375,6.7958321875
"2003-01-16",2006,16,18.694,0,898.993,0.712,399.966,8.694,0,0.479,4.104,27.4907625,18.7211625,84.59289270875,3.1916657875
"2003-01-17",2006,17,18.299,0,898.547,0.677,399.966,8.299,0,0.479,1.372,26.1952875,19.4880375,84.38574843875,8.6583338375
"2003-01-18",2006,18,19.284,0,899.027,0.622,399.966,9.284,0,0.479,3.222,26.37995,20.127075,85.98589114625,4.24166585
"2003-01-19",2006,19,18.966,0,899.699,0.997,399.966,8.966,0,0.479,4.978,26.6437875,18.7237625,81.571741145,3.56249945
"2003-01-20",2006,20,19.255,0,900.323,0.725,399.966,9.255,0,0.479,6.259,25.46775,18.602375,84.5393635425,2.000001
