"Date","year","DOY","Tair","RAD","Pressure","WindSpeed","CO2","DegreeDays","PAR","FDiff","VPD","Tmax","Tmin","RH","Rain"
"2003-01-01",2006,1,18.546,8.709,899.034,1.451,399.966,8.546,4.18,0.434,3.822,19.6393,13.57485,89.0832114575,7.0083348
"2003-01-02",2006,2,18.295,2.002,897.808,1.543,399.966,8.295,0.961,0.479,2.372,19.967925,14.53735,89.706392705,11.1416659
"2003-01-03",2006,3,20.473,18.422,897.669,1.347,399.966,10.473,8.843,0.28,5.433,18.29,14.55425,89.7587,11.9000005
"2003-01-04",2006,4,19.056,10.973,899.421,1.348,399.966,9.056,5.267,0.406,2.765,18.11355,12.957625,87.2914864575,6.20000065
"2003-01-05",2006,5,18.133,3.92,901.201,1.615,399.966,8.133,1.881,0.471,1.08,19.575,11.931925,81.169489585,2.2916668
"2003-01-06",2006,6,18.162,4.157,902.204,2.26,399.966,8.162,1.995,0.471,1.836,18.41645,13.14765,84.5588520825,3.058333225
"2003-01-07",2006,7,17.404,5.013,901.965,1.221,399.966,7.404,2.406,0.46,1.49,19.871125,11.314275,85.6310166675,3.94166585
"2003-01-08",2006,8,16.388,3.794,900.905,0.678,399.966,6.388,1.821,0.473,1.13,19.327075,14.12235,89.261871875,15.591663875
"2003-01-09",2006,9,17.791,6.566,899.799,0.857,399.966,7.791,3.152,0.46,2.764,18.9958,12.830975,86.3239479175,8.766667825
"2003-01-10",2006,10,18.963,0,899.892,0.812,399.966,8.963,0,0.479,4.428,18.9386,13.40185,89.5012291675,15.716665
"2003-01-11",2006,11,18.779,0,899.211,1.106,399.966,8.779,0,0.479,4.267,18.7495,13.783975,88.2585010425,11.625003
"2003-01-12",2006,12,18.531,0,898.949,1.056,399.966,8.531,0,0.479,5.367,19.875025,13.762475,88.42489896,12.558331975
"2003-01-13",2006,13,18.547,0,898.776,0.971,399.966,8.547,0,0.479,3.982,19.374525,14.4623,91.422158335,15.44166375
"2003-01-14",2006,14,19.291,0,898.594,1.06,399.966,9.291,0,0.479,5.507,18.75085,13.957625,91.4687364575,17.200002725
"2003-01-15",2006,15,18.954,0,899.327,0.813,399.966,8.954,0,0.479,4.228,17.695625,14.9325,96.060308335,33.941659775
"2003-01-16",2006,16,18.694,0,898.993,0.712,399.966,8.694,0,0.479,4.104,19.81,15.31,93.528015625,27.8499929
"2003-01-17",2006,17,18.299,0,898.547,0.677,399.966,8.299,0,0.479,1.372,19.69535,15.297225,92.93602604,33.649997675
"2003-01-18",2006,18,19.284,0,899.027,0.622,399.966,9.284,0,0.479,3.222,20.062475,15.323025,91.7814989575,31.450001225
"2003-01-19",2006,19,18.966,0,899.699,0.997,399.966,8.966,0,0.479,4.978,20.70625,14.97,85.9324916675,17.849999725
"2003-01-20",2006,20,19.255,0,900.323,0.725,399.966,9.255,0,0.479,6.259,20.1095,12.712675,83.798341665,13.9583312
"2003-01-21",2006,21,17.503,0,900.076,0.518,399.966,7.503,0,0.479,4.181,19.675525,14.9659,89.7067145825,16.449998725
"2003-01-22",2006,22,18.515,15.841,900.028,0.937,399.966,8.515,7.604,0.341,4.052,21.5725,13.0382,70.6685041675,1.341667425
"2003-01-23",2006,23,18.839,15.372,898.455,1.011,399.966,8.839,7.379,0.35,3.132,20.776925,13.217575,83.6135208325,8.191662225
"2003-01-24",2006,24,17.442,10.228,898.796,1.05,399.966,7.442,4.91,0.42,2.273,19.654775,14.220225,89.253315625,14.9999983
"2003-01-25",2006,25,17.49,11.938,897.724,1.203,399.966,7.49,5.73,0.402,3.495,19.02275,15.165625,93.3018208325,29.13332365
"2003-01-26",2006,26,18.937,20.353,896.706,0.821,399.966,8.937,9.769,0.272,4.507,19.50035,14.201625,87.5916666675,10.7333327
"2003-01-27",2006,27,18.706,23.07,897.005,0.834,399.966,8.706,11.073,0.233,1.888,16.92785,14.205,88.6828812525,12.0916632
"2003-01-28",2006,28,18.772,15.898,897.501,0.682,399.966,8.772,7.631,0.342,2.967,18.922625,14.420575,91.126928125,20.766673175
"2003-01-29",2006,29,19.472,23.129,897.082,0.792,399.966,9.472,11.102,0.226,5.647,17.635725,15.334,94.1360875025,38.80833725
"2003-01-30",2006,30,19.931,22.771,897.346,0.896,399.966,9.931,10.93,0.24,6.281,19.197775,13.08945,82.276075,9.68333485
"2003-01-31",2006,31,18.247,16.007,898.014,1.286,399.966,8.247,7.683,0.348,5.048,17.8589,14.68225,94.660803125,56.92500195
"2003-02-01",2006,32,18.5,14.35,898.356,1.234,399.966,8.5,6.888,0.377,4.432,17.965575,13.0567,92.5197291675,38.908337675
"2003-02-02",2006,33,19.072,16.094,897.989,1.162,399.966,9.072,7.725,0.338,3.539,20.640375,12.7008,81.4203281225,3.966667925
"2003-02-03",2006,34,18.225,4.362,897.536,0.907,399.966,8.225,2.094,0.476,2.316,21.38725,13.9323,81.4180583325,6.725001275
"2003-02-04",2006,35,18.535,13.536,896.446,1.01,399.966,8.535,6.497,0.394,2.798,21.38355,13.4884,81.260160415,11.16666725
"2003-02-05",2006,36,19.216,16.223,896.716,1.108,399.966,9.216,7.787,0.343,2.75,20.1323,14.4922,89.5975708325,5.9750011
"2003-02-06",2006,37,16.98,2.382,896.224,0.897,399.966,6.98,1.144,0.479,0.135,17.2125,15.116375,93.163417705,31.08333115
"2003-02-07",2006,38,18.227,13.279,896.698,1.089,399.966,8.227,6.374,0.404,3.119,19.028775,14.361075,86.89795521,25.683335875
"2003-02-08",2006,39,17.558,9.445,897.985,0.649,399.966,7.558,4.533,0.45,2.041,18.948,13.5984,89.8979875,36.691667575
"2003-02-09",2006,40,17.925,6.638,897.164,0.716,399.966,7.925,3.186,0.446,2.335,19.845425,14.692775,87.96004375,24.48333725
"2003-02-10",2006,41,18.981,16.598,896.841,1.328,399.966,8.981,7.967,0.337,4.621,19.136575,13.51895,91.2708947925,1.02499985
"2003-02-11",2006,42,18.915,17.274,895.979,1.246,399.966,8.915,8.291,0.329,4.999,20.799325,13.895725,83.3361020825,0.991666825
