Fecha_median;num_mes;ano;incidencia
01/01/2016;1;2016;31.14087838
01/02/2016;2;2016;22.80302564
01/03/2016;3;2016;10.51855654
01/04/2016;4;2016;4.354738676
01/05/2016;5;2016;2.924397163
01/06/2016;6;2016;2.941982759
01/07/2016;7;2016;3.851461538
01/08/2016;8;2016;4.880103448
01/09/2016;9;2016;7.173595506
01/10/2016;10;2016;9.569233333
01/11/2016;11;2016;13.94605536
01/12/2016;12;2016;16.42496644
24/05/2017;5;2017;1.043333333
27/06/2017;6;2017;0.970909091
24/07/2017;7;2017;2.274148936
23/08/2017;8;2017;5.03407767
21/09/2017;9;2017;7.015217391
21/10/2017;10;2017;11.83971154
16/11/2017;11;2017;14.34319588
09/12/2017;12;2017;15.77473118
18/01/2018;1;2018;16.99188889
15/02/2018;2;2018;11.58173913
15/03/2018;3;2018;6.313614458
17/05/2018;5;2018;1.248523777
