Fecha_median;num_mes;ano;incidencia
01/01/2016;1;2016;25.0534188
01/02/2016;2;2016;20.77956522
01/03/2016;3;2016;12.23706609
01/04/2016;4;2016;6.222612613
01/05/2016;5;2016;4.137211538
01/06/2016;6;2016;2.998589744
01/07/2016;7;2016;3.935104167
01/08/2016;8;2016;4.565784314
01/09/2016;9;2016;5.949347826
01/10/2016;10;2016;7.821171171
01/11/2016;11;2016;10.99509259
01/12/2016;12;2016;13.12462963
31/05/2017;5;2017;0.034
27/06/2017;6;2017;0.878823529
24/07/2017;7;2017;2.257307692
23/08/2017;8;2017;4.083333333
25/09/2017;9;2017;5.2116
18/10/2017;10;2017;8.154666667
16/11/2017;11;2017;11.901875
11/12/2017;12;2017;19.46689655
15/01/2018;1;2018;17.97
13/02/2018;2;2018;11.76157895
15/03/2018;3;2018;5.469047619
17/05/2018;5;2018;1.727677149
