Fecha_median;num_mes;ano;incidencia
01/01/2016;1;2016;33.97257143
01/02/2016;2;2016;29.4113913
01/03/2016;3;2016;13.12869565
01/04/2016;4;2016;5.862991453
01/05/2016;5;2016;4.332711864
01/06/2016;6;2016;4.978863636
01/07/2016;7;2016;6.882432432
01/08/2016;8;2016;7.737931034
01/09/2016;9;2016;11.03037383
01/10/2016;10;2016;12.20657407
01/11/2016;11;2016;13.82295652
01/12/2016;12;2016;14.89869565
29/05/2017;5;2017;3.175
26/06/2017;6;2017;2.822
24/07/2017;7;2017;6.677419355
22/08/2017;8;2017;7.304615385
22/09/2017;9;2017;9.299583333
20/10/2017;10;2017;12.66103448
16/11/2017;11;2017;16.32677419
12/12/2017;12;2017;20.78766667
07/12/2017;12;2017;18.755
19/01/2018;1;2018;18.09870968
16/02/2018;2;2018;15.21111111
15/03/2018;3;2018;9.635555556
17/05/2018;5;2018;2.792940652
