Fecha_median;num_mes;ano;incidencia
17/03/2016;3;2016;9.222786674
20/04/2016;4;2016;15.3842434
19/05/2016;5;2016;9.116660349
22/06/2016;6;2016;7.231046321
20/07/2016;7;2016;7.197818093
24/08/2016;8;2016;9.171853094
21/09/2016;9;2016;10.14474662
19/10/2016;10;2016;8.723371471
23/03/2017;3;2017;5.487272727
26/04/2017;4;2017;4.891383648
24/05/2017;5;2017;4.479848485
22/06/2017;6;2017;5.734104478
19/07/2017;7;2017;7.683311258
16/08/2017;8;2017;9.629319728
21/09/2017;9;2017;7.997462687
18/10/2017;10;2017;8.022030075
22/11/2017;11;2017;7.267627119
13/12/2017;12;2017;9.073023256
31/03/2017;3;2017;21.59
24/01/2018;1;2018;9.097410714
21/02/2018;2;2018;8.071238938
29/03/2018;3;2018;6.587168142
25/04/2018;4;2018;3.575192308
