Fecha_median;num_mes;ano;incidencia
27/01/2015;1;2015;56.11
19/02/2015;2;2015;44.7
17/03/2015;3;2015;34.428
14/04/2015;4;2015;25.26875
11/05/2015;5;2015;14.44434783
16/06/2015;6;2015;14.86714286
19/07/2015;7;2015;31.135
25/08/2015;8;2015;23.60636364
15/09/2015;9;2015;25.19846154
09/10/2015;10;2015;29.33181818
14/11/2015;11;2015;30.549
15/12/2015;12;2015;24.26636364
14/01/2016;1;2016;29.79176471
09/02/2016;2;2016;33.90037037
15/03/2016;3;2016;23.55772727
14/04/2016;4;2016;19.344
13/05/2016;5;2016;18.93736842
17/06/2016;6;2016;15.11323529
14/07/2016;7;2016;17.24473684
16/08/2016;8;2016;11.97923077
16/09/2016;9;2016;17.21133333
09/10/2016;10;2016;10.57416667
15/11/2016;11;2016;6.297777778
20/12/2016;12;2016;13.188
15/01/2017;1;2017;13.928
16/02/2017;2;2017;15.13833333
09/03/2017;3;2017;5.876666667
20/04/2017;4;2017;12.846
23/05/2017;5;2017;10.75375
10/06/2017;6;2017;16.69375
18/07/2017;7;2017;10.13
22/08/2017;8;2017;16.84
12/09/2017;9;2017;12.44333333
16/03/2018;3;2018;17.445
