Date;Precipitacion;TemperaturaMedia;RH;RAD;Pressure;WindSpeed;CO2;DegreeDays;PAR;FDiff;VPD;TemperaturaMAX;TemperaturaMIN
01/01/2009;5.18;16.152;93.74;5.385;899.254;0.456;386.952;6.152;2.585;0.479;1.155;17.31;14.88
02/01/2009;0;17.273;88.65;16.929;900.339;0.778;386.952;7.273;8.126;0.315;2.461;21.46;14.92
03/01/2009;1.531;17.755;87.354;18.625;901.436;0.96;386.952;7.755;8.94;0.267;2.843;21;14.14
04/01/2009;0.204;18.325;89.423;18.54;902.072;0.83;386.952;8.325;8.899;0.29;2.482;22.27;15.13
05/01/2009;37.712;18.08;94.85;7.556;901.563;0.559;386.952;8.08;3.627;0.458;1.091;20.46;16.3
06/01/2009;0.304;18.587;91.456;16.289;900.324;0.759;386.952;8.587;7.819;0.338;1.967;22.11;16.67
07/01/2009;6.109;17.699;91.508;10.81;899.089;0.725;386.952;7.699;5.189;0.378;1.853;20.82;15.23
08/01/2009;0;18.117;91.183;15.615;898.8;0.884;386.952;8.117;7.495;0.322;2.037;21.69;14.98
09/01/2009;4.884;18.293;89.554;17.162;900.208;1.142;386.952;8.293;8.238;0.302;2.429;22.1;15.84
10/01/2009;0;18.042;84.896;20.579;900.251;1.386;386.952;8.042;9.878;0.25;3.427;21.64;15.56
11/01/2009;0.2;18.198;85.575;17.243;899.207;0.894;386.952;8.198;8.277;0.32;3.258;21.55;16.11
12/01/2009;1.425;17.722;88.263;11.83;897.521;0.797;386.952;7.722;5.679;0.392;2.564;21.2;15.66
13/01/2009;0;17.328;89.519;10.635;897.205;0.691;386.952;7.328;5.105;0.437;2.265;21.19;15.18
14/01/2009;0;17.807;85.365;15.754;897.76;0.837;386.952;7.807;7.562;0.332;3.324;21.22;14.58
15/01/2009;4.477;16.461;93.558;6.21;897.466;0.621;386.952;6.461;2.981;0.473;1.222;17.72;15.28
16/01/2009;10.357;15.558;93.883;4.242;896.934;0.745;386.952;5.558;2.036;0.479;1.096;16.99;14.26
17/01/2009;0;16.993;88.787;11.626;897.95;0.555;386.952;6.993;5.58;0.42;2.434;20.92;14.44
18/01/2009;1.014;16.06;88.706;11.425;899.123;0.756;386.952;6.06;5.484;0.423;2.21;18.79;13.64
19/01/2009;2.9;16.726;89.577;8.531;899.393;0.443;386.952;6.726;4.095;0.464;2.083;18.75;15.17
20/01/2009;4.3;16.817;88.263;9.949;898.5;0.72;386.952;6.817;4.775;0.429;2.397;19.51;15.4
21/01/2009;6.6;14.63;94.546;5.818;896.88;0.66;386.952;4.63;2.793;0.478;0.916;15.69;13.62
22/01/2009;15.8;15.421;93.735;6.717;895.934;0.325;386.952;5.421;3.224;0.467;1.134;17.06;13.92
23/01/2009;24.4;16.723;90.713;12.753;896.711;0.835;386.952;6.723;6.121;0.387;1.932;20.11;14.56
24/01/2009;3.33;17.612;85.062;18.666;898.901;1.044;386.952;7.612;8.96;0.299;3.393;21.97;14.2
25/01/2009;67.862;16.049;94.715;4.967;899.334;0.687;386.952;6.049;2.384;0.479;0.97;17.43;15.13
26/01/2009;17.578;16.736;91.517;10.205;899.724;0.971;386.952;6.736;4.899;0.414;1.729;19.61;14.69
27/01/2009;0.202;18.105;84.635;16.703;899.099;1.043;386.952;8.105;8.017;0.332;3.653;22.42;15.14
28/01/2009;10.908;17.053;92.685;8.739;898.13;0.334;386.952;7.053;4.195;0.453;1.47;19.01;15.79
29/01/2009;11.812;17.838;90.213;15.519;898.409;0.733;386.952;7.838;7.449;0.362;2.192;21.79;15.89
30/01/2009;1.514;18.247;84.227;21.35;899.363;0.995;386.952;8.248;10.248;0.227;3.712;21.94;15.41
31/01/2009;21.318;16.811;90.333;11.27;900.113;0.998;386.952;6.811;5.41;0.39;2;20.33;14.72
01/02/2009;0;17.515;82.604;24.222;898.242;1.416;386.952;7.515;11.627;0.19;3.824;21.03;14.38
02/02/2009;0.706;17.593;82.912;15.414;897.67;0.828;386.952;7.593;7.399;0.351;3.733;20.2;13.2
03/02/2009;63.566;17.203;93.567;8.982;899.395;0.907;386.952;7.203;4.311;0.438;1.295;19.31;16.06
04/02/2009;75.168;15.83;96.619;7.145;900.432;2.33;386.952;5.83;3.43;0.471;0.608;16.72;13.96
05/02/2009;62.356;15.375;96.904;10.82;901.64;2.729;386.952;5.375;5.194;0.423;0.544;17.98;13.69
