Date;Tair;Tmin;Tmax;Rain;Pressure;WindSpeed;RH
01/01/2014;18.95;14.79;23.99;1.95;913.9;0.92;88.82
02/01/2014;19.66;16.44;24.12;1.32;913.7;0.84;87.53
03/01/2014;20.51;16.88;25.35;0.7;913.2;0.69;88.51
04/01/2014;20.47;16.87;25.4;0.26;914.8;0.74;85.89
05/01/2014;19.76;16.68;24.11;3.78;916;1.37;88.27
06/01/2014;18.84;16.06;23.07;7.33;915.5;1.56;88.7
07/01/2014;18.33;15.45;22.29;4.57;914.9;1.54;88.92
08/01/2014;17.93;15.22;21.87;0.75;914.9;1.5;85.8
09/01/2014;17.83;14.47;22.11;1.43;914.6;1.24;88.35
10/01/2014;18.51;15.67;22.86;1.24;914.6;1.14;87.84
11/01/2014;19.45;15.65;24.64;0.53;914.3;0.77;87.09
12/01/2014;19.78;16.63;24.6;1.55;914.1;0.84;88.43
13/01/2014;19.79;17.15;23.9;3.97;914.2;1.04;89.75
14/01/2014;19.67;17.15;24;4.29;913.8;1.13;89.32
15/01/2014;19.61;16.82;24.34;3;914.7;1.08;88.98
16/01/2014;19.16;16.64;23.49;3.7;915.7;1.24;89.36
17/01/2014;18.7;16.25;23.22;1.68;915.6;1.16;89.18
18/01/2014;18.16;15.71;22.65;2.44;916;1.23;89.55
19/01/2014;18.64;15.79;23.09;3.5;915;1.06;88.7
20/01/2014;19.43;15.17;24.99;0;913.1;0.6;84.5
21/01/2014;20.08;16.64;25.23;0;913.1;0.64;83.97
22/01/2014;19.75;15.45;25.16;0;913.6;0.43;81.23
23/01/2014;19.92;15.33;25.72;0.02;912.9;0.45;80.49
24/01/2014;19.54;16.37;24;0.96;913.9;1.19;86.86
25/01/2014;16.96;14.49;20.3;1.54;913.9;1.22;89.03
26/01/2014;16.5;14.05;20.83;1.04;915.3;1.53;87.94
27/01/2014;15.97;13.12;20.45;0.71;915.9;1.55;85.96
28/01/2014;15.76;12.75;20.16;0.49;915.3;1.58;82.46
29/01/2014;16.67;14.46;20.85;1.64;914.5;1.57;85.38
30/01/2014;17.09;14.15;21.81;1.17;915.2;1.45;87.97
31/01/2014;17.99;14.57;23.1;0.73;914.1;1.17;87.02
