Date;Tair;Tmin;Tmax;Rain;Pressure;WindSpeed;RH;RAD
01/01/2015;18.95;14.79;23.99;1.95;913.9;2.05;88.82;17.54
02/01/2015;19.66;16.44;24.12;1.32;913.7;1.95;87.53;12.54
03/01/2015;20.51;16.88;25.35;0.7;913.2;1.56;88.51;17.72
04/01/2015;20.47;16.87;25.4;0.26;914.8;1.73;85.89;17.49
05/01/2015;19.76;16.68;24.11;3.78;916;3.03;88.27;17.08
06/01/2015;18.84;16.06;23.07;7.33;915.5;3.42;88.7;15.95
07/01/2015;18.33;15.45;22.29;4.57;914.9;3.35;88.92;12.76
08/01/2015;17.93;15.22;21.87;0.75;914.9;3.24;85.8;17.75
09/01/2015;17.83;14.47;22.11;1.43;914.6;2.61;88.35;15.99
10/01/2015;18.51;15.67;22.86;1.24;914.6;2.42;87.84;15.96
11/01/2015;19.45;15.65;24.64;0.53;914.3;1.73;87.09;15.76
12/01/2015;19.78;16.63;24.6;1.55;914.1;1.89;88.43;19.18
13/01/2015;19.79;17.15;23.9;3.97;914.2;2.35;89.75;14.31
14/01/2015;19.67;17.15;24;4.29;913.8;2.46;89.32;17.01
15/01/2015;19.61;16.82;24.34;3;914.7;2.35;88.98;13.68
16/01/2015;19.16;16.64;23.49;3.7;915.7;2.63;89.36;11.26
17/01/2015;18.7;16.25;23.22;1.68;915.6;2.44;89.18;14
18/01/2015;18.16;15.71;22.65;2.44;916;2.65;89.55;14.65
19/01/2015;18.64;15.79;23.09;3.5;915;2.39;88.7;13.67
20/01/2015;19.43;15.17;24.99;0;913.1;1.46;84.5;19.96
21/01/2015;20.08;16.64;25.23;0;913.1;1.46;83.97;17.22
22/01/2015;19.75;15.45;25.16;0;913.6;1;81.23;16.04
23/01/2015;19.92;15.33;25.72;0.02;912.9;1.13;80.49;20.84
24/01/2015;19.54;16.37;24;0.96;913.9;2.56;86.86;10.46
25/01/2015;16.96;14.49;20.3;1.54;913.9;2.55;89.03;10.29
26/01/2015;16.5;14.05;20.83;1.04;915.3;3.16;87.94;12.39
27/01/2015;15.97;13.12;20.45;0.71;915.9;3.14;85.96;13.43
28/01/2015;15.76;12.75;20.16;0.49;915.3;3.28;82.46;16.63
29/01/2015;16.67;14.46;20.85;1.64;914.5;3.32;85.38;13.41
