Date;RH;Tmin;year;DOY;RAD;Rain;Pressure;WindSpeed;Tmax;Tair;
01/01/10;71.79;19.71;2010;1;16.11;0.61;944.5;0.7;29.34;23.48;
02/01/10;74.68;19.46;2010;2;17.55;0.99;942.8;0.88;28.18;22.73;
03/01/10;69.12;18.49;2010;3;17.22;0.2;942.1;0.72;28.32;22.37;
04/01/10;71.5;18.04;2010;4;13.14;0.47;943.1;0.73;28.54;22.44;
05/01/10;75.62;18.0;2010;5;10.66;0.97;945.4;1.02;27.39;21.56;
06/01/10;75.65;16.98;2010;6;11.62;1.25;945.6;1.14;26.18;20.61;
07/01/10;68.34;16.87;2010;7;13.4;0.0;944.6;0.87;27.23;21.05;
08/01/10;72.0;16.24;2010;8;11.1;0.02;944.2;0.82;28.27;21.75;
09/01/10;71.9;17.81;2010;9;10.97;0.2;943.8;0.92;28.73;22.4;
10/01/10;70.69;18.16;2010;10;9.47;0.07;945.9;1.39;27.02;21.37;
11/01/10;70.28;15.65;2010;11;12.32;0.12;947.7;1.45;23.82;19.22;
12/01/10;64.35;14.69;2010;12;13.07;0.0;947.9;1.28;24.64;18.62;
13/01/10;65.81;14.29;2010;13;17.17;0.01;947.1;1.19;25.66;19.14;
14/01/10;73.1;15.03;2010;14;10.56;0.02;945.4;0.92;26.88;20.55;
15/01/10;72.62;18.53;2010;15;11.41;0.14;943.6;0.73;29.74;23.02;
16/01/10;69.29;17.33;2010;16;12.79;0.06;943.2;0.49;30.59;23.33;
17/01/10;66.64;19.01;2010;17;16.54;0.11;944.2;0.64;29.77;23.31;
18/01/10;66.48;18.2;2010;18;17.45;0.0;944.8;0.71;29.19;22.53;
19/01/10;69.34;16.21;2010;19;17.58;0.0;943.5;0.72;29.05;22.2;
20/01/10;68.68;18.63;2010;20;15.27;0.0;941.5;0.67;30.45;23.66;
21/01/10;60.24;17.78;2010;21;18.2;0.0;941.0;0.43;31.85;23.83;
22/01/10;56.75;16.87;2010;22;21.02;0.0;941.5;0.31;33.16;23.92;
23/01/10;55.89;18.07;2010;23;20.72;0.0;940.6;0.25;33.44;24.63;
24/01/10;60.21;18.89;2010;24;18.94;0.0;939.8;0.41;32.65;24.96;
25/01/10;63.29;19.09;2010;25;18.6;0.15;941.7;0.45;31.98;24.91;
26/01/10;67.32;19.5;2010;26;17.82;0.17;943.5;0.95;29.39;23.45;
27/01/10;65.97;17.69;2010;27;18.6;0.16;943.9;1.1;28.82;22.73;
28/01/10;71.68;19.88;2010;28;11.78;0.47;942.6;1.07;29.82;23.99;
