Date;RH;Tmin;year;DOY;RAD;Rain;Pressure;WindSpeed;Tmax;Tair;
01/01/13;74.72;16.22;2013;1;15.76;0.0;903.9;1.32;27.11;20.89;
02/01/13;70.77;16.53;2013;2;19.18;0.01;903.3;1.01;27.62;21.04;
03/01/13;73.86;16.42;2013;3;17.87;0.02;904.2;1.34;27.53;21.21;
04/01/13;70.68;17.51;2013;4;17.94;0.33;905.2;1.58;26.96;21.1;
05/01/13;74.3;16.19;2013;5;15.01;0.98;905.4;1.86;27.33;21.03;
06/01/13;72.28;16.86;2013;6;17.22;0.94;904.7;1.79;27.05;21.06;
07/01/13;76.55;17.02;2013;7;12.8;0.93;903.6;2.16;27.17;21.06;
08/01/13;73.89;16.7;2013;8;11.2;0.55;903.1;1.71;27.33;21.0;
09/01/13;73.49;16.58;2013;9;13.13;0.33;904.0;1.29;28.51;21.86;
10/01/13;68.21;16.28;2013;10;20.1;0.14;904.5;1.6;28.82;21.68;
11/01/13;74.46;16.51;2013;11;15.12;0.35;903.8;1.61;27.82;21.46;
12/01/13;67.7;16.9;2013;12;21.08;0.19;902.9;1.13;28.49;21.79;
13/01/13;63.09;16.57;2013;13;19.61;0.0;902.9;0.73;29.17;21.67;
14/01/13;61.63;15.12;2013;14;20.99;0.0;903.8;0.98;28.38;20.78;
15/01/13;67.85;15.21;2013;15;19.0;0.06;903.3;1.05;28.47;21.28;
16/01/13;61.38;14.84;2013;16;15.49;0.26;903.8;0.93;28.95;21.41;
17/01/13;70.05;16.04;2013;17;15.15;0.7;905.8;2.83;25.82;19.88;
18/01/13;77.82;13.3;2013;18;10.87;1.96;907.0;4.27;20.55;16.1;
19/01/13;77.93;12.13;2013;19;12.74;1.1;906.1;3.65;20.62;15.43;
20/01/13;76.35;13.51;2013;20;10.95;1.12;905.2;2.97;24.76;18.06;
21/01/13;74.28;15.27;2013;21;11.83;1.51;904.8;2.59;26.16;19.45;
22/01/13;71.48;15.29;2013;22;14.58;0.52;905.8;2.7;26.7;20.0;
23/01/13;69.21;15.38;2013;23;15.51;0.69;907.5;2.39;26.92;20.38;
24/01/13;74.86;15.78;2013;24;9.56;3.21;907.3;2.53;26.13;19.7;
25/01/13;73.65;15.54;2013;25;13.55;3.55;906.5;2.58;26.21;19.58;
26/01/13;69.67;15.76;2013;26;13.75;0.48;905.9;2.21;27.52;20.55;
27/01/13;67.38;16.14;2013;27;20.01;0.07;905.9;1.79;28.61;21.54;
28/01/13;64.68;16.01;2013;28;19.15;0.02;906.2;1.48;29.28;21.89;
29/01/13;61.28;16.06;2013;29;20.95;0.0;904.9;1.03;30.01;22.35;
30/01/13;56.96;16.26;2013;30;22.34;0.0;903.3;0.76;31.2;22.8;
31/01/13;64.08;15.38;2013;31;18.59;0.38;904.9;2.46;27.91;20.93;
01/02/13;68.28;16.4;2013;32;17.02;1.88;905.8;2.84;27.84;21.02;
02/02/13;66.2;15.91;2013;33;17.57;0.94;905.5;2.04;28.34;21.2;
03/02/13;68.6;15.35;2013;34;16.71;1.37;905.4;2.63;27.33;20.49;
04/02/13;63.37;14.83;2013;35;19.71;0.42;904.1;1.43;28.5;21.15;
05/02/13;61.94;16.59;2013;36;21.71;0.0;903.8;0.58;30.48;22.89;
