Date;year;DOY;Tair;RAD;Pressure;WindSpeed;CO2;DegreeDays;PAR;FDiff;VPD;Tmax;Tmin;RH;Rain
01/01/2013;2013;1;19.16;15.104;896.987;1.235;395.583;9.16;7.25;0.356;4.439;33.2;18.4;64;0
02/01/2013;2013;2;19.582;19.123;896.7;1.134;395.583;9.582;9.179;0.261;6.333;33;18.1;74;0
03/01/2013;2013;3;18.458;9.543;896.101;0.708;395.583;8.458;4.58;0.435;3.757;33.2;18;60;0
04/01/2013;2013;4;19.843;14.704;896.273;1.472;395.583;9.843;7.058;0.329;6.459;32.6;19.5;67;0
05/01/2013;2013;5;19.297;15.747;896.735;1.225;395.583;9.297;7.559;0.33;6.188;33;19.2;65;0
06/01/2013;2013;6;19.179;20.659;895.965;1.144;395.583;9.179;9.916;0.227;5.303;33;19.5;71;0
07/01/2013;2013;7;19.259;19.407;896.069;1.192;395.583;9.259;9.315;0.268;6.324;33.2;19.1;69;0
08/01/2013;2013;8;20.149;20.751;897.639;1.417;395.583;10.149;9.96;0.221;6.624;33.4;18.4;70;0
09/01/2013;2013;9;20.159;21.871;898.659;1.312;395.583;10.159;10.498;0.209;6.783;32.8;18;73;0
10/01/2013;2013;10;18.509;8.859;898.169;0.694;395.583;8.509;4.252;0.436;3.468;33.2;18.6;67;0
11/01/2013;2013;11;19.742;12.498;897.431;1.254;395.583;9.742;5.999;0.4;5.907;34;20.5;65;0
12/01/2013;2013;12;19.525;19.965;897.174;1.244;395.583;9.525;9.583;0.263;5.512;34.2;20.3;74;0
13/01/2013;2013;13;19.57;21.526;898.201;1.234;395.583;9.57;10.333;0.218;7.046;33.4;17.4;76;0
14/01/2013;2013;14;18.857;18.683;899.882;1.256;395.583;8.857;8.968;0.291;4.139;33;20.5;69;1
15/01/2013;2013;15;18.947;21.508;899.569;1.129;395.583;8.947;10.324;0.211;6.83;32.4;17.3;74;0
16/01/2013;2013;16;18.31;17.888;898.535;1.152;395.583;8.31;8.586;0.309;4.98;32.4;18.2;73;0
17/01/2013;2013;17;18.242;10.617;898.451;0.793;395.583;8.242;5.096;0.431;3.861;30.6;18.5;57;0
