Date;Tair;RAD;Tmax;Tmin;RH;Rain
01/01/2013;18.546;8.709;23.11518235;16.17603529;88.3021076;4.007843294
02/01/2013;18.295;2.002;21.98415294;17.32920588;91.76270122;5.445098224
03/01/2013;20.473;18.422;21.40867059;17.09377059;93.38704951;6.835295253
04/01/2013;19.056;10.973;21.69105294;15.32914706;90.32116618;9.468630053
05/01/2013;18.133;3.92;22.90893529;16.58812941;88.00500343;3.096080541
06/01/2013;18.162;4.157;23.3486;16.90379412;86.00215711;2.013725659
07/01/2013;17.404;5.013;23.65342353;15.76932353;86.35841593;1.533333194
08/01/2013;16.388;3.794;23.18437647;16.60128235;85.06489632;4.672548276
09/01/2013;17.791;6.566;21.37231765;16.09674706;90.83597476;8.366667341
10/01/2013;18.963;0;20.29395294;16.24966471;91.32359804;22.10392341
11/01/2013;18.779;0;19.98122941;14.96628824;89.78449485;9.017647435
12/01/2013;18.531;0;19.60789412;13.15717647;86.81779436;7.190196518
13/01/2013;18.547;0;19.68860588;13.11057059;86.49240613;8.211765388
14/01/2013;19.291;0;19.97330588;13.44968824;86.32318627;8.999998635
15/01/2013;18.954;0;20.84181176;13.7342;86.05414976;6.529411518
16/01/2013;18.694;0;20.86397647;14.33460588;87.18696789;6.729410953
17/01/2013;18.299;0;20.57560588;15.08098235;89.41534363;10.33137152
18/01/2013;19.284;0;21.91013529;14.03243529;81.63015221;1.690196512
19/01/2013;18.966;0;21.69787059;14.68272941;80.70470172;1.327450865
20/01/2013;19.255;0;21.66108235;14.15519412;81.96261716;0.854901494
21/01/2013;17.503;0;22.11603529;14.85038824;80.96145319;1.168627971
22/01/2013;18.515;15.841;22.07355882;14.77625294;82.07107696;0.950980141
23/01/2013;18.839;15.372;22.47694706;15.14303529;81.36023039;0.745097847
24/01/2013;17.442;10.228;23.95052941;14.392;70.9467348;0.419607894
25/01/2013;17.49;11.938;22.75565294;17.575;92.96821765;10.18039166
26/01/2013;18.937;20.353;23.49892941;15.63411176;78.41517108;3.615685165
27/01/2013;18.706;23.07;23.3301;15.30354706;83.23992892;0.731372841
28/01/2013;18.772;15.898;22.64750588;15.59062353;83.2755424;2.160783553
29/01/2013;19.472;23.129;22.46477059;15.88724706;84.77391642;3.990195371
30/01/2013;19.931;22.771;23.21915882;16.21449412;82.74489289;2.160784906
31/01/2013;18.247;16.007;23.92738824;15.83708824;79.77036544;4.309805141
01/02/2013;18.5;14.35;22.42492941;15.33405882;88.84200098;12.2666654
02/02/2013;19.072;16.094;23.61574118;15.90822353;89.3311152;9.952942176
03/02/2013;18.225;4.362;22.85924118;17.54196471;90.0559478;8.698039453
04/02/2013;18.535;13.536;23.39127059;16.96530588;86.58153726;7.3843128
05/02/2013;19.216;16.223;21.65756471;16.99151176;92.73354069;33.64510236
06/02/2013;16.98;2.382;22.63818824;17.08764706;90.01406324;5.941177935
07/02/2013;18.227;13.279;22.83917059;17.25187059;91.8353277;25.37058843
08/02/2013;17.558;9.445;23.80027647;17.54126471;88.24260196;2.568626282
09/02/2013;17.925;6.638;24.07632353;16.57878824;86.58077892;1.274510453
10/02/2013;18.981;16.598;23.36325882;17.41382941;87.52701936;2.364705688
11/02/2013;18.915;17.274;22.22879412;15.94027647;89.32674485;6.752941624
12/02/2013;18.383;11.282;20.46805882;16.21429412;94.06558799;24.52352939
13/02/2013;16.671;3.641;21.74736471;17.17933529;94.30576495;22.34705672
14/02/2013;16.648;16.123;20.02594118;16.7979;95.12359779;25.07451031
15/02/2013;16.773;2.316;21.27321765;16.63932941;93.07926127;17.80588275
16/02/2013;17.629;1.547;22.77022941;16.71636471;84.5179625;5.503922612
17/02/2013;18.685;17.785;23.49958824;16.71854706;78.80700515;1.627451265
18/02/2013;19.057;15.701;23.23163529;16.69056471;83.62953456;2.931372776
19/02/2013;18.684;19.707;23.28508235;16.29094118;88.8697701;5.8843146
20/02/2013;17.253;4.305;22.91565882;16.93735882;86.07050735;6.590197412
21/02/2013;18.363;11.146;23.21133529;15.04088824;77.27965956;1.098039147
22/02/2013;18.959;17.626;22.69701176;15.40712353;81.33508775;1.799999782
23/02/2013;19.355;20.539;23.31632941;15.19219412;83.40409412;1.884315088
24/02/2013;18.423;17.713;23.62116471;16.19076471;80.74155098;3.756862782
25/02/2013;18.961;19.283;22.45387059;17.82458235;93.38655147;21.45097968
26/02/2013;18.437;7.91;24.29052941;17.14989412;84.98690956;5.427450594
27/02/2013;19.501;19.797;23.60204706;14.93460588;87.57004118;11.21960804
28/02/2013;17.192;3.829;21.72506471;16.87859412;90.05165882;12.40980135
01/03/2013;17.871;2.971;22.53767059;15.36332353;88.72961495;10.54705809
02/03/2013;18.158;13.069;23.84589412;14.67861765;83.64311372;5.725490406
03/03/2013;18.357;19.417;23.26648235;15.87945882;86.33533211;8.598039241
04/03/2013;19.007;20.056;21.63324706;14.21061176;89.7822777;12.53725921
05/03/2013;19.064;20.519;21.61002941;15.74898235;89.75074338;12.40195763
