Date;Tair;RAD;Tmax;Tmin;RH;Rain
01/01/2013;18.546;8.709;25.9995875;19.3710625;86.05461354;4.570832575
02/01/2013;18.295;2.002;24.8717625;20.41105;90.21933177;1.995833838
03/01/2013;20.473;18.422;25.02395;20.106;89.87350104;1.895833275
04/01/2013;19.056;10.973;25.57375;18.1710875;86.94925156;5.01666585
05/01/2013;18.133;3.92;26.4409875;18.565525;84.35083542;0.779167088
06/01/2013;18.162;4.157;26.5419875;18.5571;82.87903802;0.612500213
07/01/2013;17.404;5.013;26.8844375;18.9638625;83.69417396;0.829166613
08/01/2013;16.388;3.794;26.79335;17.7875125;82.43303281;3.450001825
09/01/2013;17.791;6.566;24.220525;19.3326625;91.14565209;10.74166779
10/01/2013;18.963;0;23.0044875;18.9543625;89.24380156;11.56666716
11/01/2013;18.779;0;23.0349125;17.5912375;86.54949323;8.229165663
12/01/2013;18.531;0;23.4148875;16.0182625;82.26494167;7.683332388
13/01/2013;18.547;0;23.4574875;15.8415125;83.88967031;4.82916895
14/01/2013;19.291;0;23.707575;16.735475;83.3912099;6.191668463
15/01/2013;18.954;0;24.6681625;16.49605;82.28021979;6.837501088
16/01/2013;18.694;0;23.8811125;17.420475;86.67940938;6.466667925
17/01/2013;18.299;0;24.1493625;18.1739625;85.86874792;5.654168088
18/01/2013;19.284;0;24.6430625;17.13835;82.22961511;1.108333363
19/01/2013;18.966;0;24.2822375;14.7843125;78.8481349;1.166667563
20/01/2013;19.255;0;23.9180625;15.137675;81.43449636;2.36250045
21/01/2013;17.503;0;24.3071375;15.2286375;80.29073177;0.22500015
22/01/2013;18.515;15.841;25.084925;16.56275;79.4617974;0.675000213
23/01/2013;18.839;15.372;25.7256375;16.5152;80.0141849;0.487500175
24/01/2013;17.442;10.228;27.0051875;15.953525;71.54367917;0.174999963
25/01/2013;17.49;11.938;25.9028625;19.273775;90.25448489;2.86666695
26/01/2013;18.937;20.353;25.3987375;17.2608;83.30669011;1.154166288
27/01/2013;18.706;23.07;26.1044125;16.576525;79.82549271;0.0666667
28/01/2013;18.772;15.898;26.3228125;16.9744375;80.12690104;0.03333335
29/01/2013;19.472;23.129;26.1687375;17.42875;82.97620729;0.837500363
30/01/2013;19.931;22.771;26.7439875;17.6060875;79.63635365;0.679166663
31/01/2013;18.247;16.007;26.528475;18.3064125;79.90485156;6.41250075
01/02/2013;18.5;14.35;25.6423875;18.5059875;88.65431146;13.65000196
02/02/2013;19.072;16.094;26.76605;19.2627125;85.58469115;4.3541665
03/02/2013;18.225;4.362;25.21845;19.982975;88.63121406;11.90000085
04/02/2013;18.535;13.536;26.912775;19.9210375;85.94473125;5.375002425
05/02/2013;19.216;16.223;24.0946625;20.0354;92.2483151;19.20833286
06/02/2013;16.98;2.382;25.737475;19.6468;88.29307969;7.541667138
07/02/2013;18.227;13.279;25.7922875;19.884775;89.38128542;17.48749823
08/02/2013;17.558;9.445;27.114875;19.4478375;85.10814271;6.691663813
09/02/2013;17.925;6.638;27.5092625;18.31725;82.66184167;0.358333325
10/02/2013;18.981;16.598;26.2495125;19.4792;85.88725677;4.258332825
11/02/2013;18.915;17.274;24.8852125;19.0934;89.63999636;8.65000085
12/02/2013;18.383;11.282;24.4020625;19.2575125;91.65893438;17.00416496
13/02/2013;16.671;3.641;24.88835;19.8213375;91.5138099;17.95000074
14/02/2013;16.648;16.123;23.1997;19.0810625;92.90735313;16.99583563
15/02/2013;16.773;2.316;24.559825;18.4122;90.96816146;6.86667055
16/02/2013;17.629;1.547;26.292075;18.7046;81.51196563;0.6291668
17/02/2013;18.685;17.785;27.0450875;18.5208375;75.60572031;0.312500213
18/02/2013;19.057;15.701;26.2823875;19.1499375;81.55637239;1.704167475
19/02/2013;18.684;19.707;25.998125;19.20185;85.17844219;4.191666725
20/02/2013;17.253;4.305;26.9349;19.0267625;81.71958386;1.858333525
21/02/2013;18.363;11.146;25.838575;16.6131125;75.78088021;0.141666738
22/02/2013;18.959;17.626;25.4135625;17.6594125;78.80213386;0.34166685
23/02/2013;19.355;20.539;26.469675;17.5531125;81.13175052;0.495833313
24/02/2013;18.423;17.713;27.021275;18.25865;80.37704688;1.55416575
25/02/2013;18.961;19.283;26.657875;19.828375;87.95170156;10.08750135
26/02/2013;18.437;7.91;27.6257625;18.9917375;82.88603229;3.25833535
27/02/2013;19.501;19.797;26.2116;18.70815;86.69432031;10.79583348
28/02/2013;17.192;3.829;25.000075;20.261825;89.80080573;9.53750025
01/03/2013;17.871;2.971;25.298;19.052225;87.75445833;8.124999163
02/03/2013;18.158;13.069;27.006975;18.490925;82.37626771;3.758334425
03/03/2013;18.357;19.417;26.27455;19.1022625;84.35698333;6.537502438
04/03/2013;19.007;20.056;24.985475;17.88;87.22888854;7.762499163
05/03/2013;19.064;20.519;24.6301875;19.0216125;87.9691849;10.56249981
06/03/2013;20.161;18.696;24.0371375;18.480325;84.33149948;8.695832575
07/03/2013;17.054;6.633;23.3786;17.1231625;83.61559115;7.00000025
08/03/2013;17.617;8.309;24.775575;17.3630125;80.54892865;3.650000238
09/03/2013;17.535;7.208;24.30465;17.451925;83.10478802;1.90416585
10/03/2013;18.575;14.423;27.03375;18.1036875;84.780825;3.94166725
11/03/2013;18.985;7.663;25.5677;19.5845375;85.62872552;7.145833988
12/03/2013;18.46;4.572;25.961275;19.800275;83.36055677;7.387501863
13/03/2013;18.161;9.844;26.5074375;19.309375;85.07371615;5.804167113
14/03/2013;18.671;18.831;27.5073;19.777875;81.32723854;1.229166463
15/03/2013;18.89;13.353;27.88395;19.65085;79.72882396;1.283333488
16/03/2013;17.047;4.996;27.7614125;19.55475;79.72138073;1.53749995
17/03/2013;17.97;13.62;27.5789625;20.268;80.88578542;2.44583305
18/03/2013;18.613;18.499;26.9391125;18.26255;80.25848021;2.858332963
19/03/2013;18.737;17.871;26.6216;19.732925;83.84250885;6.962500988
20/03/2013;18.558;17.603;24.4893;19.5540375;86.95144219;8.89166695
21/03/2013;18.39;18.307;25.96785;19.707875;83.93398698;5.874999925
22/03/2013;18.921;20.056;27.1572875;19.88595;82.25210833;6.75833255
23/03/2013;19.274;19.429;25.1761125;19.5415875;86.20966094;9.4708344
24/03/2013;19.015;15.092;24.7886375;19.349825;86.98017396;9.154164475
25/03/2013;19.263;18.465;25.5009875;19.586475;85.4026974;14.29167014
26/03/2013;18.992;20.218;26.660175;18.939225;84.51052604;6.77500125
27/03/2013;19.278;20.313;27.05275;19.15445;84.5722651;14.57916606
28/03/2013;19.952;21.364;26.622875;19.33525;85.51432292;18.2916622
29/03/2013;18.541;14.765;26.5140125;18.8359;84.01572083;14.63333378
30/03/2013;18.675;10.664;24.9112375;19.851225;84.55225625;6.129166038
31/03/2013;17.782;6.016;27.0239625;18.64795;77.40907552;1.56249975
01/04/2013;19.074;19.954;29.0335875;20.030475;76.88008125;1.808333425
