fecha,tmax,tmin,precipitacion
2014-06-01,27.8,20.6,1.6
2014-06-02,28.9,21.8,0
2014-06-03,28.6,22.7,0.1
2014-06-04,29.6,21.4,3.9
2014-06-05,25.1,22.1,5.2
2014-06-06,28.4,21.3,16.9
2014-06-07,26.6,21.8,6.6
2014-06-08,27.3,20.3,0.6
2014-06-09,27.9,19.9,9.2
2014-06-10,29.1,20.3,0
2014-06-11,30.1,22,0.9
2014-06-12,28.3,21.6,2.7
2014-06-13,26.3,22.6,3.2
2014-06-14,27.9,21.7,0.5
2014-06-15,27.8,20.4,1.8
2014-06-16,28.6,21.7,17.9
2014-06-17,28.9,20.6,14.1
2014-06-18,29.7,20.5,4.1
2014-06-19,29.6,22.3,13.3
2014-06-20,29.1,21.6,9.9
2014-06-21,28.7,21.6,7.8
2014-06-22,28.9,22.2,1.7
2014-06-23,27.1,21.6,20.8
2014-06-24,28.2,19.9,40.8
2014-06-25,28.1,19.8,28.7
2014-06-26,27.3,21,24.2
2014-06-27,29.9,21.7,7.7
2014-06-28,28.3,20.3,7.5
2014-06-29,28.2,22.1,2.4
2014-06-30,28.1,21.4,13.2
2014-07-01,25.1,21.3,1.2
2014-07-02,28.9,20.1,0
2014-07-03,28.3,20.7,0
2014-07-04,28.1,20.5,0
2014-07-05,28.1,18.3,0
2014-07-06,27.1,21.6,52.2
2014-07-07,27.8,20.3,0.3
2014-07-08,28.6,20.3,7.5
2014-07-09,24.3,22,97.7
2014-07-10,23.7,22,67.5
2014-07-11,24.5,22.2,53.6
2014-07-12,26.3,22,26.3
2014-07-13,28.4,21.3,7
2014-07-14,29.2,20.3,0.7
2014-07-15,28.7,22.2,0.1
2014-07-16,26.2,22.4,0
2014-07-17,24.4,22.3,95.5
2014-07-18,29.2,21.6,0
2014-07-19,28.4,21.6,6.2
2014-07-20,26.3,22,0.2
2014-07-21,28.3,21.6,1.9
2014-07-22,27.4,22.1,1.1
2014-07-23,27.6,22.2,12.9
2014-07-24,28.6,22.6,5.6
2014-07-25,28.4,22.6,0.1
2014-07-26,25.9,21.9,0.5
2014-07-27,28.2,21.3,5.5
2014-07-28,28.2,20.7,4.4
2014-07-29,29.9,22.3,11.7
2014-07-30,26.8,22.8,10.1
2014-07-31,28.8,22.5,9.1
2014-08-01,28.4,22.5,4.9
2014-08-02,26.9,22.3,55.1
2014-08-03,27.4,21.3,7.7
2014-08-04,28.9,20.4,3
2014-08-05,28.9,20.1,0.1
2014-08-06,28.9,20.2,3.1
2014-08-07,28.8,20.8,4.9
2014-08-08,27.2,20.7,21.1
2014-08-09,28.7,19.9,1
2014-08-10,29.1,21.3,30.4
2014-08-11,28.8,21.7,0.1
2014-08-12,27.6,21.6,0
2014-08-13,29.4,20.8,20.7
2014-08-14,28.1,20.3,29
2014-08-15,26.6,21.2,0
2014-08-16,28.4,20.2,35.5
2014-08-17,27.4,21.9,1.9
2014-08-18,27.9,21,17.4
2014-08-19,29.1,20.9,28.2
2014-08-20,29.4,21.1,7.6
2014-08-21,27.1,20.6,1.8
2014-08-22,28,20.9,5.1
2014-08-23,28.1,21.1,9.5
2014-08-24,28.9,20.9,0.1
2014-08-25,28.8,21.2,0
2014-08-26,28.8,20.4,0
2014-08-27,28.6,20.9,20.8
2014-08-28,26,20.8,2
2014-08-29,28.1,21.3,0.5
2014-08-30,28.8,21.3,0.8
2014-08-31,28.9,20.4,0
2014-09-01,28.2,20,0.7
2014-09-02,29,20.6,2
2014-09-03,28.8,19.4,10.3
2014-09-04,25.2,18.4,0
2014-09-05,27.6,20.8,9.3
