Regiones,Fecha,Year,Num_mes,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,Cat_Variedad
RACN,03/07/2019,2019,3,13.33063793,-85.35256195,565,CATIMOR,Floracion Loca,661,14,2.12,Resistentes
RACN,6/13/2019,2019,6,13.33063793,-85.35256195,565,CATIMOR,Fruto Consistente,678,1,0.15,Resistentes
RACN,1/17/2019,2019,1,13.33063793,-85.35256195,565,CATIMOR,Hojas Nuevas Mayor al 30%,755,7,0.93,Resistentes
RACN,07/10/2019,2019,7,13.33063793,-85.35256195,565,CATIMOR,Fruto Consistente,876,0,0,Resistentes
JINOTEGA,3/18/2019,2019,3,13.65058708,-85.71094513,946,CATIMOR,Floraci¢n,921,28,3.04,Resistentes
JINOTEGA,8/19/2019,2019,8,13.65058708,-85.71094513,946,CATIMOR,Fruto Consistente,882,34,3.85,Resistentes
RACN,5/15/2019,2019,5,13.33063793,-85.35256195,565,CATIMOR,Hojas Nuevas Mayor al 30%,583,1,0.17,Resistentes
RACN,08/06/2019,2019,8,13.33063793,-85.35256195,565,CATIMOR,Fruto Consistente,642,0,0,Resistentes
RACN,04/04/2019,2019,4,13.33063793,-85.35256195,565,CATIMOR,Hojas Nuevas Mayor al 30%,529,1,0.19,Resistentes
RACN,6/13/2019,2019,6,13.28366756,-85.40366364,457,CATIMOR,Fruto Consistente,648,1,0.15,Resistentes
MATAGALPA,02/08/2019,2019,2,12.86686039,-85.88221741,680,CATIMOR,Hojas Nuevas Mayor al 30%,609,8,1.31,Resistentes
RACN,2/14/2019,2019,2,13.33063793,-85.35256195,565,CATIMOR,Hojas Nuevas Mayor al 30%,802,5,0.62,Resistentes
MASAYA,09/10/2019,2019,9,11.888968,-86.112218,451,CATIMOR,Fruto Consistente,842,0,0,Resistentes
MASAYA,11/07/2019,2019,11,11.888968,-86.112218,451,CATIMOR,Madurez Fisiol¢gica,734,0,0,Resistentes
JINOTEGA,6/19/2019,2019,6,13.65058708,-85.71094513,946,CATIMOR,Fruto Consistente,1000,28,2.8,Resistentes
NUEVA SEGOVIA,8/31/2019,2019,8,13.92380047,-86.13300323,760,CATIMOR,Fruto Consistente,1151,0,0,Resistentes
NUEVA SEGOVIA,11/13/2019,2019,11,13.92380047,-86.13300323,760,CATIMOR,Madurez Fisiol¢gica,1068,0,0,Resistentes
NUEVA SEGOVIA,4/25/2019,2019,4,13.60070038,-86.08609772,849,CATIMOR,Floracion Loca,1079,0,0,Resistentes
NUEVA SEGOVIA,2/14/2019,2019,2,13.92380047,-86.13300323,760,CATIMOR,Hojas Nuevas Mayor al 30%,1049,35,3.34,Resistentes
NUEVA SEGOVIA,04/12/2019,2019,4,13.92380047,-86.13300323,760,CATIMOR,Floracion Loca,462,15,3.25,Resistentes
NUEVA SEGOVIA,6/27/2019,2019,6,13.92380047,-86.13300323,760,CATIMOR,Fruto Consistente,517,22,4.26,Resistentes
NUEVA SEGOVIA,5/13/2019,2019,5,13.92380047,-86.13300323,760,CATIMOR,Floraci¢n Principal,927,0,0,Resistentes
NUEVA SEGOVIA,10/26/2019,2019,10,13.60070038,-86.08609772,849,CATIMOR,Madurez Fisiol¢gica,921,0,0,Resistentes
JINOTEGA,12/18/2019,2019,12,13.65058708,-85.71094513,946,CATIMOR,Madurez Fisiol¢gica,794,93,11.71,Resistentes
JINOTEGA,11/25/2019,2019,11,13.65058708,-85.71094513,946,CATIMOR,Madurez Fisiol¢gica,118,2,1.69,Resistentes
NUEVA SEGOVIA,05/07/2019,2019,5,13.60070038,-86.08609772,849,CATIMOR,Floraci¢n Principal,625,0,0,Resistentes
NUEVA SEGOVIA,3/14/2019,2019,3,13.60070038,-86.08609772,849,CATIMOR,Floracion Loca,622,8,1.29,Resistentes
NUEVA SEGOVIA,6/28/2019,2019,6,13.60070038,-86.08609772,849,CATIMOR,Fruto Acuoso,821,26,3.17,Resistentes
NUEVA SEGOVIA,12/13/2019,2019,12,13.60070038,-86.08609772,849,CATIMOR,Madurez Fisiol¢gica,622,0,0,Resistentes
NUEVA SEGOVIA,10/17/2019,2019,10,13.96817017,-86.15201569,981,CATIMOR,Fruto Consistente,1006,0,0,Resistentes
NUEVA SEGOVIA,01/10/2019,2019,1,13.96817017,-86.15201569,981,CATIMOR,Floraci¢n,1062,5,0.47,Resistentes
NUEVA SEGOVIA,05/09/2019,2019,5,13.96817017,-86.15201569,981,CATIMOR,Fruto Consistente,1096,25,2.28,Resistentes
MATAGALPA,03/11/2019,2019,3,12.684364,-85.720782,720,CATIMOR,Floracion Loca,815,6,0.74,Resistentes
NUEVA SEGOVIA,03/12/2019,2019,3,13.96817017,-86.15201569,981,CATIMOR,Hojas Nuevas Mayor al 30%,933,5,0.54,Resistentes
MATAGALPA,05/02/2019,2019,5,12.684364,-85.720782,720,CATIMOR,Floraci¢n Principal,590,1,0.17,Resistentes
MATAGALPA,09/10/2019,2019,9,12.684364,-85.720782,720,CATIMOR,Fruto Consistente,868,0,0,Resistentes
NUEVA SEGOVIA,4/15/2019,2019,4,13.96817017,-86.15201569,981,CATIMOR,Hojas Nuevas Mayor al 30%,947,49,5.17,Resistentes
NUEVA SEGOVIA,8/31/2019,2019,8,13.96817017,-86.15201569,981,CATIMOR,Fruto Consistente,998,47,4.71,Resistentes
NUEVA SEGOVIA,07/09/2019,2019,7,13.96817017,-86.15201569,981,CATIMOR,Fruto Consistente,1016,39,3.84,Resistentes
NUEVA SEGOVIA,9/28/2019,2019,9,13.96817017,-86.15201569,981,CATIMOR,Fruto Consistente,1104,10,0.91,Resistentes
JINOTEGA,05/02/2019,2019,5,13.13312531,-85.98410034,949,CATIMOR,Hojas Nuevas Mayor al 30%,586,0,0,Resistentes
JINOTEGA,7/17/2019,2019,7,13.13312531,-85.98410034,949,CATIMOR,Fruto Consistente,818,2,0.24,Resistentes
JINOTEGA,1/22/2019,2019,1,13.65058708,-85.71094513,946,CATIMOR,Madurez Fisiol¢gica,902,53,5.88,Resistentes
NUEVA SEGOVIA,11/13/2019,2019,11,13.96817017,-86.15201569,981,CATIMOR,Madurez Fisiol¢gica,1197,0,0,Resistentes
MATAGALPA,05/02/2019,2019,5,12.86686039,-85.88221741,680,CATIMOR,Floraci¢n Principal,385,1,0.26,Resistentes
RACN,10/08/2019,2019,10,13.297962,-85.411469,673,CATIMOR,Madurez Fisiol¢gica,674,0,0,Resistentes
RACN,04/04/2019,2019,4,13.28366756,-85.40366364,457,CATIMOR,Floraci¢n Principal,383,1,0.26,Resistentes
