Regiones,Fecha,Year,Num_mes,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,Cat_Variedad
RACN,03/07/2019,2021,3,13.33063793,-85.35256195,565,CATIMOR,Floracion Loca,661,14,2.12,Resistentes
JINOTEGA,3/18/2019,2021,3,13.65058708,-85.71094513,946,CATIMOR,Floraci½n,921,28,3.04,Resistentes
NUEVA SEGOVIA,3/14/2019,2021,3,13.60070038,-86.08609772,849,CATIMOR,Floracion Loca,622,8,1.29,Resistentes
MATAGALPA,03/11/2019,2021,3,12.684364,-85.720782,720,CATIMOR,Floracion Loca,815,6,0.74,Resistentes
NUEVA SEGOVIA,03/12/2019,2021,3,13.96817017,-86.15201569,981,CATIMOR,Hojas Nuevas Mayor al 30%,933,5,0.54,Resistentes
RACN,03/12/2019,2021,3,13.28366756,-85.40366364,457,CATIMOR,Hojas Nuevas de 15.1% A 30%,631,1,0.16,Resistentes
JINOTEGA,03/12/2019,2021,3,13.13312531,-85.98410034,949,CATIMOR,Floraci½n,766,10,1.31,Resistentes
MATAGALPA,3/15/2019,2021,3,12.79277802,-85.83169556,777,CATIMOR,Floracion Loca,508,10,1.97,Resistentes
NUEVA SEGOVIA,03/12/2019,2021,3,13.92380047,-86.13300323,760,CATIMOR,Hojas Nuevas Mayor al 30%,979,23,2.35,Resistentes
NUEVA SEGOVIA,3/13/2019,2021,3,13.9289999,-86.14759827,1167,CATIMOR,Hojas Nuevas Mayor al 30%,1016,72,7.09,Resistentes
JINOTEGA,3/29/2019,2021,3,13.133644,-86.010026,973,CATUAI CATURRA,Hojas Nuevas Mayor al 30%,714,3,0.42,Susceptibles
JINOTEGA,3/19/2019,2021,3,13.229214,-86.062921,1237,CATUAI ROJO,Floracion Loca,1368,176,12.87,Susceptibles
ESTELI,3/28/2019,2021,3,13.2489996,-86.47000122,1227,CATURRA,Hojas Nuevas Mayor al 30%,337,17,5.04,Susceptibles
MATAGALPA,3/13/2019,2021,3,13.2052002,-85.63289642,776,CATURRA,Floracion Loca,663,8,1.21,Susceptibles
NUEVA SEGOVIA,3/28/2019,2021,3,13.77740002,-86.6115036,1245,CATURRA,Hojas Nuevas Mayor al 30%,492,4,0.81,Susceptibles
MATAGALPA,03/11/2019,2021,3,12.86362457,-85.90351105,1230,CATURRA,Hojas Nuevas Mayor al 30%,1044,32,3.07,Susceptibles
MATAGALPA,3/13/2019,2021,3,13.20180035,-85.5490036,722,CATURRA,Floracion Loca,866,7,0.81,Susceptibles
NUEVA SEGOVIA,3/13/2019,2021,3,13.92720032,-86.15370178,1217,CATURRA,Hojas Nuevas Mayor al 30%,1181,21,1.78,Susceptibles
JINOTEGA,03/11/2019,2021,3,13.25699997,-86.03489685,1157,CATURRA,Floraci½n,1184,31,2.62,Susceptibles
MADRIZ,3/29/2019,2021,3,13.4289999,-86.55000305,1115,CATURRA,Hojas Nuevas Mayor al 30%,728,26,3.57,Susceptibles
JINOTEGA,3/18/2019,2021,3,13.31229973,-86.06900024,1158,CATURRA,Floracion Loca,1396,124,8.88,Susceptibles
NUEVA SEGOVIA,3/24/2019,2021,3,13.76210022,-86.51080322,1142,CATURRA,Hojas Nuevas Mayor al 30%,792,39,4.92,Susceptibles
MATAGALPA,03/11/2019,2021,3,12.87975979,-85.89845276,1124,CATURRA,Hojas Nuevas Mayor al 30%,501,15,2.99,Susceptibles
JINOTEGA,03/12/2019,2021,3,13.25819969,-86.20249939,1211,CATURRA,Floracion Loca,789,28,3.55,Susceptibles
MATAGALPA,03/08/2019,2021,3,12.69439983,-85.73239899,784,CATURRA,Floracion Loca,694,0,0,Susceptibles
CARAZO,03/12/2019,2021,3,11.90312767,-86.2232132,625,CATURRA,Hojas Nuevas Mayor al 30%,646,59,9.13,Susceptibles
NUEVA SEGOVIA,3/29/2019,2021,3,13.65629959,-86.17469788,641,CATURRA,Hojas Nuevas Mayor al 30%,847,3,0.35,Susceptibles
MATAGALPA,03/08/2019,2021,3,12.71000004,-85.76999664,696,CATURRA,Floracion Loca,741,21,2.83,Susceptibles
NUEVA SEGOVIA,03/12/2019,2021,3,13.95339966,-86.15419769,842,CATURRA,Hojas Nuevas Mayor al 30%,987,86,8.71,Susceptibles
MATAGALPA,03/07/2019,2021,3,12.71990013,-85.68730164,758,CATURRA,Floracion Loca,498,16,3.21,Susceptibles
MATAGALPA,3/13/2019,2021,3,12.79880047,-85.82769775,830,CATURRA,Hojas Nuevas Mayor al 30%,732,41,5.6,Susceptibles
MATAGALPA,03/12/2019,2021,3,12.98615932,-85.7322998,804,CATURRA,Hojas Nuevas Mayor al 30%,620,16,2.58,Susceptibles
JINOTEGA,03/12/2019,2021,3,13.21660042,-85.84049988,1050,CATURRA,Floracion Loca,671,77,11.48,Susceptibles
CARAZO,03/12/2019,2021,3,11.87611866,-86.25757599,615,CATURRA,Hojas Nuevas Mayor al 30%,632,108,17.09,Susceptibles
MATAGALPA,3/21/2019,2021,3,12.98130035,-85.80039978,769,CATURRA,Hojas Nuevas Mayor al 30%,676,26,3.85,Susceptibles
JINOTEGA,03/12/2019,2021,3,13.24960041,-86.1937027,1310,CATURRA,Floracion Loca,847,57,6.73,Susceptibles
ESTELI,3/28/2019,2021,3,13.27589989,-86.49649811,1422,CATURRA,Hojas Nuevas Mayor al 30%,348,14,4.02,Susceptibles
ESTELI,3/27/2019,2021,3,13.28052044,-86.24554443,1322,CATURRA,Hojas Nuevas Mayor al 30%,478,116,24.27,Susceptibles
ESTELI,3/28/2019,2021,3,13.25479984,-86.49909973,675,CATURRA,Hojas Nuevas Mayor al 30%,524,9,1.72,Susceptibles
MATAGALPA,03/12/2019,2021,3,12.97525215,-85.76142883,802,CATURRA,Hojas Nuevas Mayor al 30%,680,35,5.15,Susceptibles
MATAGALPA,3/15/2019,2021,3,12.7755003,-85.81130219,841,CATURRA,Hojas Nuevas Mayor al 30%,681,56,8.22,Susceptibles
MATAGALPA,03/11/2019,2021,3,12.8632412,-85.90609741,1131,CATURRA,Hojas Nuevas Mayor al 30%,627,35,5.58,Susceptibles
JINOTEGA,03/08/2019,2021,3,13.1821003,-85.89820099,1026,CATURRA,Floracion Loca,865,74,8.55,Susceptibles
JINOTEGA,3/21/2019,2021,3,13.21109962,-86.11160278,1096,CATURRA,Hojas Nuevas Mayor al 30%,799,67,8.39,Susceptibles
MATAGALPA,03/08/2019,2021,3,13.14470005,-85.75980377,1030,CATURRA,Floracion Loca,755,53,7.02,Susceptibles
JINOTEGA,3/18/2019,2021,3,13.60229969,-85.74649811,931,CATURRA,Floraci½n,880,46,5.23,Susceptibles
JINOTEGA,03/08/2019,2021,3,13.32250023,-86.10749817,1084,CATURRA,Floraci½n,678,19,2.8,Susceptibles
MASAYA,03/07/2019,2021,3,11.89635086,-86.15177917,461,CATURRA,Hojas Nuevas Mayor al 30%,915,21,2.3,Susceptibles
JINOTEGA,03/12/2019,2021,3,13.18130016,-85.95420074,997,CATURRA,Floraci½n,666,133,19.97,Susceptibles
CARAZO,03/12/2019,2021,3,11.89360523,-86.2705307,643,CATURRA,Hojas Nuevas Mayor al 30%,796,76,9.55,Susceptibles
GRANADA,3/13/2019,2021,3,11.82509995,-85.99739838,497,CATURRA,Hojas Nuevas Mayor al 30%,850,62,7.29,Susceptibles
MASAYA,3/30/2019,2021,3,11.93634224,-86.07976532,415,CATURRA,Hojas Nuevas Mayor al 30%,467,23,4.93,Susceptibles
JINOTEGA,3/16/2019,2021,3,13.60079956,-85.57510376,548,CATURRA,Floraci½n,788,47,5.96,Susceptibles
CARAZO,3/13/2019,2021,3,11.8731575,-86.20292664,566,CATURRA,Hojas Nuevas Mayor al 30%,813,0,0,Susceptibles
NUEVA SEGOVIA,3/31/2019,2021,3,13.75660038,-86.31030273,1119,CATURRA,Hojas Nuevas Mayor al 30%,735,31,4.22,Susceptibles
